claim_id,source_section,source_line,source_text,source_text_sha256,claim_class,datasets,units,estimand,evidence_paths,evidence_status,action,target_section,target_text,target_text_sha256,reason
R008-C0001,摘要,5,旋转目标检测通常以平均精度评价整体性能，但一次检测在类别、中心和尺度上正确，并不意味着其角度可信。交并比阈值、目标长宽比、匹配竞争以及标注不确定性会共同改变角度误差的可见程度，使 AP 难以单独回答“高分预测是否具有更可靠的朝向”。本文提出一套面向有向边界框的朝向可靠性测量协议。协议以 le90 长边规范定义周期角度误差，以共中心、同尺度矩形的旋转交并比推导 `ar>=2.1` 的主分析区域，并用随长宽比变化的几何归一化严重事件统一不同形状的风险语义。为评价任意可靠性分数，我们联合报告风险—覆盖曲线、AURC、归一化风险—覆盖面积及固定角度敏感性。六个干净完整验证单元的完整评测器扰动显示：在自适应 IoU 0.50 边界内，AP@0.5 均保持不变，而 AP@0.75 显著下降；真实几何下 `ar>=2.1` 实例的经验中位容忍角约为 25°--30°（IoU 0.50）和 0°--7.5°（IoU 0.75），但固定剂量网格的原始预测并不完整，因而不能确认统一的 AP@0.75 拐点。,d045d07f1a7f916dc08ce278a3135278325631622ff9e3a09fdaf7aee42a48b3,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,摘要,旋转目标检测通常以平均精度评价整体性能，但一次检测在类别、中心和尺度上正确，并不意味着其角度可信。交并比阈值、目标长宽比、匹配竞争以及标注不确定性会共同改变角度误差的可见程度，使 AP 难以单独回答“高分预测是否具有更可靠的朝向”。本文提出一套面向有向边界框的朝向可靠性测量协议。协议以 le90 长边规范定义周期角度误差，以共中心、同尺度矩形的旋转交并比推导 `ar>=2.1` 的主分析区域，并用随长宽比变化的几何归一化严重事件统一不同形状的风险语义。为评价任意可靠性分数，我们联合报告风险—覆盖曲线、AURC、归一化风险—覆盖面积及固定角度敏感性。六个干净完整验证单元的完整评测器扰动显示：在自适应 IoU 0.50 边界内，AP@0.5 均保持不变，而 AP@0.75 显著下降；真实几何下 `ar>=2.1` 实例的经验中位容忍角约为 25°--30°（IoU 0.50）和 0°--7.5°（IoU 0.75），但固定剂量网格的原始预测并不完整，因而不能确认统一的 AP@0.75 拐点。,d045d07f1a7f916dc08ce278a3135278325631622ff9e3a09fdaf7aee42a48b3,与 orientation-specific measurement 证据一致。
R008-C0002,摘要,7,本文进一步建立场景级有限样本认证审计，而不把它作为已成功的部署方法。我们固定 eligible-scene universe，将阈值后无保留预测的场景视为 abstention，而非零风险样本，并按图像或原始母景处理相关性。在 6 个 evaluation units、4 类分数、4 个风险端点和 6 类预算组成的 576 个 score-endpoint-budget rows 中，20 个获得非平凡认证、68 个属于宽松预算下的 trivial 情形、554 个不可行；几何归一化主风险的 144 行中有 142 行不可行。唯一具有实用覆盖的主风险点来自使用目标域真值角误差拟合的诊断上界，在 DIOR-R 的 Rotated RTMDet evaluation unit 上保留约 70.14% 的审计实例，不能部署。两名独立标注者对 600 个目标的 450 对数值角度给出 2.3112° 的平均分歧；标注者与 official GT 的差异中位数约为 1.76°--1.79°。这些结果表明，严格风险预算下现有可部署分数大多无法获得非平凡认证，且度级风险解释必须同时考虑几何可辨识性和标注不确定性。本文最终贡献是一套可复算的 measurement protocol、负结果完整的认证可行性前沿以及不掩盖不可行单元的工具箱。,d9b3055f05545e208334d71a09731fcfc3a817e5ca2a888a6c809897a652cc93,certification_audit,"[""DIOR-R""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,摘要,本文进一步建立场景级有限样本认证审计，而不把它作为已成功的部署方法。我们固定 eligible-scene universe，将阈值后无保留预测的场景视为 abstention，而非零风险样本，并按图像或原始母景处理相关性。在 6 个 evaluation units、4 类分数、4 个风险端点和 6 类预算组成的 576 个 score-endpoint-budget rows 中，20 个获得非平凡认证、68 个属于宽松预算下的 trivial 情形、554 个不可行；几何归一化主风险的 144 行中有 142 行不可行。唯一具有实用覆盖的主风险点来自使用目标域真值角误差拟合的诊断上界，在 DIOR-R 的 Rotated RTMDet evaluation unit 上保留约 70.14% 的审计实例，不能部署。两名独立标注者对 600 个目标的 450 对数值角度给出 2.3112° 的平均分歧；标注者与 official GT 的差异中位数约为 1.76°--1.79°。这些结果表明，严格风险预算下现有可部署分数大多无法获得非平凡认证，且度级风险解释必须同时考虑几何可辨识性和标注不确定性。本文最终贡献是一套可复算的 measurement protocol、负结果完整的认证可行性前沿以及不掩盖不可行单元的工具箱。,d9b3055f05545e208334d71a09731fcfc3a817e5ca2a888a6c809897a652cc93,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0003,1 引言,11,## 1 引言,ed8ade0bab7cb9f36f3d90a4ab765b73243d8eba0e684a61e9ddaa395406c07f,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,1 引言,## 1 引言,ed8ade0bab7cb9f36f3d90a4ab765b73243d8eba0e684a61e9ddaa395406c07f,与 orientation-specific measurement 证据一致。
R008-C0004,1 引言,13,"有向边界框以 $(c_x,c_y,w,h,\theta)$ 描述目标，广泛用于遥感影像、场景文字和工业视觉。现有旋转检测研究主要围绕 AP、角度编码连续性和定位损失展开。AP 是必要的综合指标，却混合了类别、中心、尺度、角度、分数排序和匹配关系。当 IoU 阈值较低，或目标接近方形时，显著的角度变化仍可能保留匹配；反之，中心或尺度的小变化也可能在角度不变时改变 AP。因此，“检测是否正确”和“朝向是否可信”是相关但不同的问题。",84ac6a7f1f24a01c06b195317278cc2a1e5159b5d0df137f593337b71cb5a47c,measurement_boundary,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,1 引言,"有向边界框以 $(c_x,c_y,w,h,\theta)$ 描述目标，广泛用于遥感影像、场景文字和工业视觉。现有旋转检测研究主要围绕 AP、角度编码连续性和定位损失展开。AP 是必要的综合指标，却混合了类别、中心、尺度、角度、分数排序和匹配关系。当 IoU 阈值较低，或目标接近方形时，显著的角度变化仍可能保留匹配；反之，中心或尺度的小变化也可能在角度不变时改变 AP。因此，“检测是否正确”和“朝向是否可信”是相关但不同的问题。",84ac6a7f1f24a01c06b195317278cc2a1e5159b5d0df137f593337b71cb5a47c,与 orientation-specific measurement 证据一致。
R008-C0005,1 引言,15,朝向可靠性测量至少面临四个困难。第一，旋转框存在 $180^\circ$ 周期和长短边交换等价性，线性角度差会制造伪误差。第二，目标形状决定角度可辨识性：细长目标的角度变化迅速降低 IoU，近方形目标则可能在很大角度范围内保持几何相似。第三，置信分数对检测正确性的排序能力不必等同于其对角度误差的排序能力。第四，同一图像、同一切片来源或同一原始母景中的实例并不独立；把大量实例当作独立样本会产生过窄的置信上界。,83469fa007d6a8b03ef85ddcfcc28748a546a0404ef36accd0f7676aa0c4b2cc,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,1 引言,朝向可靠性测量至少面临四个困难。第一，旋转框存在 $180^\circ$ 周期和长短边交换等价性，线性角度差会制造伪误差。第二，目标形状决定角度可辨识性：细长目标的角度变化迅速降低 IoU，近方形目标则可能在很大角度范围内保持几何相似。第三，置信分数对检测正确性的排序能力不必等同于其对角度误差的排序能力。第四，同一图像、同一切片来源或同一原始母景中的实例并不独立；把大量实例当作独立样本会产生过窄的置信上界。,83469fa007d6a8b03ef85ddcfcc28748a546a0404ef36accd0f7676aa0c4b2cc,与 orientation-specific measurement 证据一致。
R008-C0006,1 引言,17,本文将问题限定为**测量与审计**，而非提出新的角度编码器或宣称一个通用可部署选择器。具体贡献如下。,c44ca4b874ef741bc9b3a38004ace002efd64254a579c9971be2ba720b3ebb6f,certification_audit,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",QUALIFIED,QUALIFY,1 引言,本文将问题限定为**测量与审计**，而非提出新的角度编码器或宣称一个通用可部署选择器。具体贡献如下。,c44ca4b874ef741bc9b3a38004ace002efd64254a579c9971be2ba720b3ebb6f,保留可追溯测量主张；认证相关内容仅作审计/边界限定。
R008-C0007,1 引言,19,1. 形式化 le90 长边朝向误差，并用风险—覆盖曲线、AURC 和 NRC 独立评价可靠性排序。,e00442bce098eafa132896fce8b1ac19bd20d08471fa89868e55796c59d210e6,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,1 引言,1. 形式化 le90 长边朝向误差，并用风险—覆盖曲线、AURC 和 NRC 独立评价可靠性排序。,e00442bce098eafa132896fce8b1ac19bd20d08471fa89868e55796c59d210e6,与 orientation-specific measurement 证据一致。
R008-C0008,1 引言,20,2. 从旋转矩形 IoU 推导 `ar>=2.1` 的几何原则化主口径，定义随长宽比变化的 geometry-normalized severe orientation event，并将 5°、10°、15° 保留为固定角度敏感性。,d4b8e7ed1994cd3ea8192ffd9c847d658684973f8b66533c25823478a3800ed0,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,1 引言,2. 从旋转矩形 IoU 推导 `ar>=2.1` 的几何原则化主口径，定义随长宽比变化的 geometry-normalized severe orientation event，并将 5°、10°、15° 保留为固定角度敏感性。,d4b8e7ed1994cd3ea8192ffd9c847d658684973f8b66533c25823478a3800ed0,与 orientation-specific measurement 证据一致。
R008-C0009,1 引言,21,3. 在完整评测器中执行保持预测身份、分数、类别和非角度几何不变的朝向扰动，量化 AP@0.5 与 AP@0.75 的不同敏感性，并比较理想与经验容忍角。,17ef33ec3f4b9ddacaba1a9008c679d6169d4ad74027c39843c53c8ad9ff3e40,measurement_numeric,"[""multiple_or_not_explicit""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,1 引言,3. 在完整评测器中执行保持预测身份、分数、类别和非角度几何不变的朝向扰动，量化 AP@0.5 与 AP@0.75 的不同敏感性，并比较理想与经验容忍角。,17ef33ec3f4b9ddacaba1a9008c679d6169d4ad74027c39843c53c8ad9ff3e40,与 orientation-specific measurement 证据一致。
R008-C0010,1 引言,22,4. 在 DIOR-R、FAIR1M、SODA-A 和 DOTA 的多个 detector-head units 上报告 full-validation AP 与朝向排序，利用固定尺寸分箱排查几何分析中的尺寸混淆。,5f050ba24c24b20a3153a32c1ae1d711bcb6faad398a56443089afe4fd1c045e,measurement_numeric,"[""DIOR-R"", ""FAIR1M"", ""SODA-A"", ""DOTA""]",evaluation unit / detector-head unit,orientation-specific measurement or audited certification frontier,"[""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a1_guaranteed_frontier_all_alpha.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a3_score_menu_summary.csv"", ""top_journal_v3_reaudit_055/paper_A_orientation_protocol/docs/orientation_reliability_paper_A_zh_v077.md""]",VALID,RETAIN,1 引言,4. 在 DIOR-R、FAIR1M、SODA-A 和 DOTA 的多个 detector-head units 上报告 full-validation AP 与朝向排序，利用固定尺寸分箱排查几何分析中的尺寸混淆。,5f050ba24c24b20a3153a32c1ae1d711bcb6faad398a56443089afe4fd1c045e,与 orientation-specific measurement 证据一致。
