source_kind,is_proxy,dataset,group_type,group_value,subset_definition,n_pairs,mean_circ_disagree_deg,median_circ_disagree_deg,p90_circ_disagree_deg,p95_circ_disagree_deg,P_gt5,P_gt10,status
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,dataset,all,all independently double-labeled usable instances,99,1.7378,1.3443,3.6593,4.5726,0.040404,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,ar_main,ar>=2.1,matched_GT_aspect_ratio>=2.1,78,1.6783,1.2069,3.8818,4.583,0.038462,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,Expressway-toll-station,matched_gt_class=Expressway-toll-station,1,1.4205,1.4205,1.4205,1.4205,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,airplane,matched_gt_class=airplane,4,1.4028,1.5846,1.8596,1.8605,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,basketballcourt,matched_gt_class=basketballcourt,4,0.679,0.3293,1.628,1.8426,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,groundtrackfield,matched_gt_class=groundtrackfield,3,1.9992,1.893,3.1434,3.2997,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,harbor,matched_gt_class=harbor,1,5.187,5.187,5.187,5.187,1.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,ship,matched_gt_class=ship,45,1.4864,0.9446,3.3462,4.4493,0.022222,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,stadium,matched_gt_class=stadium,4,2.1081,2.1784,2.893,2.9874,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,tenniscourt,matched_gt_class=tenniscourt,11,1.2409,1.0543,2.6037,2.8806,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,trainstation,matched_gt_class=trainstation,1,1.4925,1.4925,1.4925,1.4925,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,vehicle,matched_gt_class=vehicle,25,2.426,1.9221,4.228,6.4771,0.08,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,size,large,matched_gt_size_bin=large,11,1.3766,0.9939,1.893,3.54,0.090909,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,size,medium,matched_gt_size_bin=medium,39,1.2924,1.0543,2.4833,3.1874,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,size,small,matched_gt_size_bin=small,49,2.1735,1.8522,4.3807,5.6792,0.061224,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,ar_bin,1.6<=ar<2.1,matched_gt_ar_bin=1.6<=ar<2.1,11,2.3374,2.0573,3.6206,4.4038,0.090909,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,ar_bin,ar<1.6,matched_gt_ar_bin=ar<1.6,10,1.5424,1.5846,2.6515,2.8666,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,ar_bin,ar>=2.1,matched_gt_ar_bin=ar>=2.1,78,1.6783,1.2069,3.8818,4.583,0.038462,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,dataset,all,all independently double-labeled usable instances,151,2.0821,1.7341,4.2665,5.3731,0.072848,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,ar_main,ar>=2.1,matched_GT_aspect_ratio>=2.1,88,2.0367,1.4505,4.2068,5.2894,0.079545,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,A220,matched_gt_class=A220,2,1.3785,1.3785,1.6942,1.7336,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,A330,matched_gt_class=A330,1,1.3853,1.3853,1.3853,1.3853,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,A350,matched_gt_class=A350,1,1.7347,1.7347,1.7347,1.7347,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Basketball Court,matched_gt_class=Basketball Court,2,1.4657,1.4657,1.5235,1.5308,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Boeing737,matched_gt_class=Boeing737,1,2.0213,2.0213,2.0213,2.0213,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Boeing787,matched_gt_class=Boeing787,3,2.5763,2.4813,2.7931,2.8321,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Bus,matched_gt_class=Bus,2,0.8071,0.8071,1.3232,1.3877,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Cargo Truck,matched_gt_class=Cargo Truck,1,1.1568,1.1568,1.1568,1.1568,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,FAIR1M-v1.0,class,Dry Cargo Ship,matched_gt_class=Dry Cargo Ship,3,0.8133,1.0576,1.1256,1.1341,0.0,0.0,COMPLETE
