anon_id,dataset,image_id,pred_id,matched_gt_class,matched_gt_area_px2,matched_gt_size_bin,matched_gt_aspect_ratio,matched_gt_ar_bin,formal_ar21_eligible,formal_stratum,formal_geometry_source,formal_class_source,locator_geometry_source,source_image_path,source_image_sha256,image_width,image_height,locator_cx,locator_cy,locator_box_xmin,locator_box_ymin,locator_box_xmax,locator_box_ymax,crop_xmin,crop_ymin,crop_xmax,crop_ymax,crop_relpath,crop_sha256,source_record_path,source_record_sha256,source_record_line,sampling_seed,sampling_rank
f40dec08970cd145,SODA-A,02205__800__1200___1800,15,small-vehicle,213.8253,small,2.148478,ar>=2.1,True,small-vehicle|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/SODA-A/dota_format_tiled_ss/val_tiled/images/02205__800__1200___1800.jpg,365681f9345b7f949aae030dad83debb709c9307cd82ec7bf525e9d88550b96b,800,800,176.36,555.98,152.36,531.98,200.36,579.98,128,507,225,604,crops/f40dec08970cd145.jpg,dcc4ef44b5761fda1575a9450852ec891da27f44be841f13cbf4cc5d196d9508,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,337470223fae218aa2969ae8f974a447e6666d22f02830a7a933ea3dadbd72c9,146428,20460718,25
de90cb4b4416059a,DIOR-R,20145,0,windmill,838.0276,small,1.483254,ar<1.6,False,windmill|small|ar<1.6,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/20145.jpg,f3d39f459f0936556fb5c59ee7a022da657a2fb54d3b637a979bcbe5e115d9fd,800,800,296.93,123.76,272.93,99.76,320.93,147.76,248,75,345,172,crops/de90cb4b4416059a.jpg,5e6b906f8a17ef90b1854223e8a8e45837a0765853df6af44819288760f393f0,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,25266,20260712,414
c4d20ad458504721,FAIR1M-v1.0,10663__1024__0___0,22,A220,4821.7807,medium,1.229426,ar<1.6,False,A220|medium|ar<1.6,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/fair1m1.0/split/val_20/images/10663__1024__0___0.png,8368a0ac1d4f3e32dbf6e14b7636a59b29ca2cb96650121edd74cee7b32ad272,1024,1024,535.32,292.49,491.87,249.03,578.78,335.94,464,221,607,364,crops/c4d20ad458504721.jpg,1ab86596be274aebdb7973d1a06ff9167a927bfa1a7e8143571c9d8007707465,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,fe2c0b3690e12793f898c0c7a5ce100806567e39f4b3671e9b1e2af5fb8c3bbf,40236,20360715,89
a89cf4600ea3593a,DIOR-R,21246,7,vehicle,90.0,small,2.5,ar>=2.1,True,vehicle|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/21246.jpg,050423b7c2a33687e108d2b0f0faafbf0280f25e40e5fee17c4626a135014724,800,800,238.28,31.74,214.28,7.74,262.28,55.74,190,0,287,80,crops/a89cf4600ea3593a.jpg,e2f449603b8d25d69b505b3e55b6edceb93b09b697de7f1c44d1e4f59da14d74,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,28132,20260712,87
c0cdb92976514558,SODA-A,02107__800__3600___600,17,small-vehicle,215.4455,small,2.108089,ar>=2.1,True,small-vehicle|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/SODA-A/dota_format_tiled_ss/val_tiled/images/02107__800__3600___600.jpg,ba371599ed9024b3329c7e7a0790387d61c1094cd582fe0082761d96ce68c5cd,800,800,688.05,40.54,664.05,16.54,712.05,64.54,640,0,737,89,crops/c0cdb92976514558.jpg,5dcbdc3847c99d10d26c868e1f2d091afa31b66928ea4b6d6b3b14fa0eaa6d7c,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,337470223fae218aa2969ae8f974a447e6666d22f02830a7a933ea3dadbd72c9,242315,20460718,103
7b6727eb1343ba4f,FAIR1M-v1.0,4618__1024__0___0,254,Van,171.0,small,2.111111,ar>=2.1,True,Van|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/fair1m1.0/split/val_20/images/4618__1024__0___0.png,888b3c49a46ccec6a1e881376391a9c7af4245c1c11e83b8d13f546a72d8ce9a,1024,1024,366.76,41.99,342.76,17.99,390.76,65.99,318,0,415,90,crops/7b6727eb1343ba4f.jpg,a5406084b844fe4b3342605b221b838895ceef4f0ea044b9c568ff21f0bbfdae,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,fe2c0b3690e12793f898c0c7a5ce100806567e39f4b3671e9b1e2af5fb8c3bbf,23985,20360715,49
77b9703a651e2995,SODA-A,02289__800__1800___600,473,small-vehicle,54.225,small,1.672316,1.6<=ar<2.1,False,small-vehicle|small|1.6<=ar<2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/SODA-A/dota_format_tiled_ss/val_tiled/images/02289__800__1800___600.jpg,9137ea1607f218c76367c46e4f9dbb5ff669541d1ef57ebd64a275be8138833c,800,800,289.72,516.54,265.72,492.54,313.72,540.54,241,468,338,565,crops/77b9703a651e2995.jpg,ef6180a70cd554c6aa224d9bc68beb5a441da5fabc21eb44ec318b7ed62681ac,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,337470223fae218aa2969ae8f974a447e6666d22f02830a7a933ea3dadbd72c9,306327,20460718,341
0d1772ab77c27577,SODA-A,02424__800__600___0,141,small-vehicle,50.8317,small,2.226309,ar>=2.1,True,small-vehicle|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/SODA-A/dota_format_tiled_ss/val_tiled/images/02424__800__600___0.jpg,110f3b469cf8689c5bd35cb19fe73d64adde0ec4cd4630ae8b781fcb6530cff9,800,800,70.07,388.78,46.07,364.78,94.07,412.78,22,340,119,437,crops/0d1772ab77c27577.jpg,46f240e9822a6d2779b3e737a028f0c5e6dbac2ac48e09c651dbd76619c8e4a8,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,337470223fae218aa2969ae8f974a447e6666d22f02830a7a933ea3dadbd72c9,10180,20460718,293
b293c1b40edf40fc,FAIR1M-v1.0,16139__1024__0___0,41,Van,87.0,small,3.0,ar>=2.1,True,Van|small|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/fair1m1.0/split/val_20/images/16139__1024__0___0.png,e7135e573bc99c04c642d24b73d7e8c7d704f2ae7b559dd2e4d8fccaa05549ff,1024,1024,601.19,979.76,577.19,955.76,625.19,1003.76,553,931,650,1024,crops/b293c1b40edf40fc.jpg,09958a62052a6477ade4e85ad12f9327f2be9039a7493c7b5505bf7c92529bb7,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,fe2c0b3690e12793f898c0c7a5ce100806567e39f4b3671e9b1e2af5fb8c3bbf,14185,20360715,368
d86f87aaf790b25f,DIOR-R,23300,2,overpass,17637.2678,large,4.078014,ar>=2.1,True,overpass|large|ar>=2.1,matched_GT_box_nonangular,matched_GT_class_via_class_constrained_match,matched_prediction_box_nonangular,/home/rspip/cqc/data/dataset/DIOR/images/test/23300.jpg,324f355fb51032391c0441822705dd8b3e71364855c89709b766a68310e985ff,800,800,552.87,522.8,434.48,404.4,671.27,641.19,359,329,747,717,crops/d86f87aaf790b25f.jpg,f0602125ca226bc9d2c3c2f772f447cf4fd5373a078b34dcb58aeba20a72ff62,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,00e554fbc45dfd6ab0d964800920e101411bc2ee1e218f575a0eafcfde63761e,18890,20260712,480
