module,field,draft_value,rationale,needs_D_cal,affects_D_audit,approval_status,risk_if_changed_after_run
B_C1,drop_rate_max,0.5,其余数值为占位草案，需各责任角色用 D_cal 数据标定后替换,True,True,pending,changing post-run invalidates DropRate stop decision
B_C1,cycle_err_max,0.3,其余数值为占位草案，需各责任角色用 D_cal 数据标定后替换,True,True,pending,invalidates cycle-consistency gate
B_C1,ot_vs_gt_identity.min_delta,0.03,draft: NRC-AUC 改善需 >0.03 才算非 GT-identity 副产物,True,True,pending,changing alters whether OT beats GT-identity (R1)
B_C1,padding_only_tie.max_delta_abs,0.01,其余数值为占位草案，需各责任角色用 D_cal 数据标定后替换,True,True,pending,alters padding-only tie ruling
A_A4,partial_corr_max_abs,0.2,draft: source attribution 偏相关上界，待 HSIC 联合校准,True,True,pending,alters source-attribution significance
A_A4,hsic_p_min_after_correction,0.05,其余数值为占位草案，需各责任角色用 D_cal 数据标定后替换,True,True,pending,alters HSIC independence ruling
A_A4,all_source_vs_best_single_delta_min,0.02,其余数值为占位草案，需各责任角色用 D_cal 数据标定后替换,True,True,pending,alters multi-source benefit claim
D2,spearman_mAP_NRC_max,0.95,项目执行文件 §12.2 停止条件上界，照搬,False,True,pending,raising hides NRC-mAP redundancy (stop condition)
D2,effect_size_min.background_phase_spearman,0.2,其余数值为占位草案，需各责任角色用 D_cal 数据标定后替换,True,True,pending,alters probe-cell significance
D2,fdr_method,benjamini_hochberg,其余数值为占位草案，需各责任角色用 D_cal 数据标定后替换,False,True,pending,changing multiple-comparison control after run is p-hacking risk
