item,value
milestone_verdict,PASS within frozen DOTA scope
D2_formal_status,partial_frozen DOTA (3-detector) PASS
RHINO_host_status,"trained+frozen, mAP 0.7201, sha256 55a90abbace42927"
O2RTDETR_A4_host_status,"trained+frozen, mAP 0.6497, sha256 3e32fa11114ced82"
C1_formal_audit,formal_pass (augmentation-view scope only)
A4_formal_audit,formal_pass (same-host source-attribution scope)
thresholds_sha256,b7c4e649b1a3de6d0c985a5f20dc5ba70a8fb3e428c3c184e2f86bf96d593fae
freeze_status,partial_frozen_dota_d2+host_orientation_gates+c1_a4_formal_thresholds
dcal_daudit_disjoint,True (deterministic md5 split; verified)
tests,156 passed
