field,value
matched_table_path,orientbench_real_052/matched_tables/DOTA-v1.0/20/matched_17field_full_052.jsonl
gt_path,outputs/predictions/DOTA-v1.0/_dcal_subset/gt_mmrotate.jsonl (19-image D_cal SUBSET)
n_predictions,2428
n_gt,21349 (subset gt)
n_images,18 (matched) / 19 (subset)
n_matched,486
mAP@0.5,0.0132 (anomalous)
match_iou_min/med,0.504 / 0.744
aspect_ratio,ALL 486 ar>=1.6 (near_square_n=0) — no near-square present
split_counts,D_audit 280 / D_cal 206
separate_phase_mod_dump_rows,17960 (psc_phase_mod_permatched_full_052.csv DOTA-v1.0/20)
checkpoint_sha256,fa5da130cca61e53fb425ffca1d969a3c8a411900f47b994213982e96795cee3 (verified consistent)
verdict,INVALID_PENDING for main P1 table: matched only vs 19-image D_cal subset -> mAP 0.0132 meaningless scope; a fuller 17960-row phase_mod dump exists and disagrees on scope
action,"move DOTA#20 to footnote/invalid_pending; NOT used as P3 negative-control conclusion; masked phase_mod (n=16873) usable as mechanism datapoint only, flagged subset"
