condition,status,evidence,impact_on_b6,source
preflight_integrity,PASS,38/38 checks pass,continue,runtime integrity checks
instance_estimand_equivalence,PASS,14/14 tests pass,continue,top_journal_v3_reaudit_055/paper_B_psc_mechanism/reports/b3_b4_estimand_equivalence_tests_r001.csv
external_variant_health,PASS,healthy comparable seeds=3/3,continue,b4_variant_model_health.csv + b4_protocol_frozen.json
ranking_only_identity_and_ap,PASS,B3 ranking rows=29 all_exact=True; B4 exact=True,continue,b3/b4 identity audits
mechanism_replication:H1,PASS,"original=SUPPORTED; external=['REPLICATED', 'PARTIALLY_REPLICATED']",mechanism only; no repair inheritance,b3_hypothesis_evidence_matrix.csv + b4_hypothesis_external_replication.csv
mechanism_replication:H2,BOUNDED,"original=PARTIALLY_SUPPORTED; external=['PARTIALLY_REPLICATED', 'PARTIALLY_REPLICATED']",mechanism only; no repair inheritance,b3_hypothesis_evidence_matrix.csv + b4_hypothesis_external_replication.csv
mechanism_replication:H3,PASS,"original=SUPPORTED; external=['REPLICATED', 'PARTIALLY_REPLICATED']",mechanism only; no repair inheritance,b3_hypothesis_evidence_matrix.csv + b4_hypothesis_external_replication.csv
mechanism_replication:H4,BOUNDED,"original=PARTIALLY_SUPPORTED; external=['PARTIALLY_REPLICATED', 'PARTIALLY_REPLICATED']",mechanism only; no repair inheritance,b3_hypothesis_evidence_matrix.csv + b4_hypothesis_external_replication.csv
corrected_development_candidate_support,PASS,"[[""multi_frequency_consistency"", ""endpoint_continuous"", [""DIOR-R"", ""FAIR1M-v1.0"", ""SODA-A""]], [""tta_phase_direction_consistency"", ""endpoint_continuous"", [""DIOR-R"", ""SODA-A""]], [""unwrap_candidate_energy_gap"", ""endpoint_continuous"", [""DIOR-R"", ""FAIR1M-v1.0"", ""SODA-A""]]]",continue to external gate,top_journal_v3_reaudit_055/paper_B_psc_mechanism/reports/b3_candidate_cluster_bootstrap_reaudit_r001.csv
corrected_external_candidate_confirmation,FAIL,[],stop B6; candidate not externally confirmed,top_journal_v3_reaudit_055/paper_B_psc_mechanism/reports/b4_candidate_external_bootstrap_reaudit_r001.csv
final_verdict,FAIL_CANDIDATE_GATE,"replicated_mechanisms=['H1', 'H3']; external_candidate_support=[]",STOP_B6,machine-derived conjunction of preceding rows
