source_kind,is_proxy,dataset,group_type,group_value,subset_definition,n_pairs,mean_circ_disagree_deg,median_circ_disagree_deg,p90_circ_disagree_deg,p95_circ_disagree_deg,P_gt5,P_gt10,status
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,dataset,all,all independently double-labeled usable instances,122,1.6725,1.2069,3.4602,4.541,0.040984,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,ar_main,ar>=2.1,matched_GT_aspect_ratio>=2.1,92,1.68,1.1347,3.7787,4.6456,0.043478,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,Expressway-toll-station,matched_gt_class=Expressway-toll-station,1,1.4205,1.4205,1.4205,1.4205,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,airplane,matched_gt_class=airplane,8,0.9721,0.7071,1.8572,1.8593,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,basketballcourt,matched_gt_class=basketballcourt,5,0.6982,0.6261,1.5444,1.8009,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,bridge,matched_gt_class=bridge,1,1.1235,1.1235,1.1235,1.1235,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,dam,matched_gt_class=dam,1,0.0646,0.0646,0.0646,0.0646,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,groundtrackfield,matched_gt_class=groundtrackfield,3,1.9992,1.893,3.1434,3.2997,0.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,harbor,matched_gt_class=harbor,1,5.187,5.187,5.187,5.187,1.0,0.0,COMPLETE
HUMAN_INDEPENDENT_DOUBLE_ANNOTATION,False,DIOR-R,class,ship,matched_gt_class=ship,55,1.5392,0.9446,3.4289,4.6143,0.036364,0.0,COMPLETE
