cell_id,dataset,baseline_id,detector,real_raw_post_nms_exists,raw_path,schema_17field_exists,schema_path,schema_persistent,gt_obb_exists,gt_path,matched_table_exists,matched_table_path,match_iou_exists,angle_error_exists,near_square_aspect_size_exists,phase_mod_exists,phase_mod_path,tta_predictions_exist,tta_path,circular_variance_exists,synthetic_or_proxy,can_recompute,formal_evidence_ready,missing_reason
DOTA-v1.0/20,DOTA-v1.0,20,psc,True,outputs/predictions/DOTA-v1.0/20/raw/result_b20.pkl,True,outputs/persistent_artifacts/orientbench_v2/DOTA-v1.0/20/schema/pred_b20_DOTA-v1.0_val.jsonl,True,True,outputs/predictions/DOTA-v1.0/_dcal_subset/gt_mmrotate.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/DOTA-v1.0_20.jsonl,False,True,True,False,,False,,False,False,True,True,match_iou_missing;phase_mod_missing;tta_missing;circular_variance_missing
DIOR-R/22,DIOR-R,22,psc,True,outputs/persistent_artifacts/orientbench_v2/DIOR-R/22/raw/result_b22.pkl,True,outputs/persistent_artifacts/orientbench_v2/DIOR-R/22/schema/pred_b22_fullval.jsonl,True,True,outputs/bench_core/gt_index/DIOR-R_val.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/DIOR-R_22.jsonl,False,True,True,True,outputs/persistent_artifacts/orientbench_v2_047/track_a_dumps/DIOR-R_22.pkl,True,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_22,False,False,True,True,match_iou_missing;circular_variance_missing
FAIR1M-v1.0/24,FAIR1M-v1.0,24,psc,True,outputs/persistent_artifacts/orientbench_v2/FAIR1M-v1.0/24/raw/result_b24.pkl,True,outputs/persistent_artifacts/orientbench_v2/FAIR1M-v1.0/24/schema/pred_b24_fullval.jsonl,True,True,outputs/bench_core/gt_index/FAIR1M-v1.0_val.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/FAIR1M-v1.0_24.jsonl,False,True,True,True,outputs/persistent_artifacts/orientbench_v2_047/track_a_dumps/FAIR1M-v1.0_24.pkl,True,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/FAIR1M-v1.0_24,False,False,True,True,match_iou_missing;circular_variance_missing
SODA-A/23,SODA-A,23,psc,True,outputs/persistent_artifacts/orientbench_v2/SODA-A/23/raw/result_b23.pkl,True,outputs/persistent_artifacts/orientbench_v2/SODA-A/23/schema/pred_b23_fullval.jsonl,True,True,outputs/bench_core/gt_index/SODA-A_val.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/SODA-A_23.jsonl,False,True,True,True,outputs/persistent_artifacts/orientbench_v2_047/track_a_dumps/SODA-A_23.pkl,True,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/SODA-A_23,False,False,True,True,match_iou_missing;circular_variance_missing
DIOR-R/3,DIOR-R,3,orcnn,True,outputs/persistent_artifacts/orientbench_v2/DIOR-R/3/raw/result_b3.pkl,True,outputs/persistent_artifacts/orientbench_v2/DIOR-R/3/schema/pred_b3_fullval.jsonl,True,True,outputs/bench_core/gt_index/DIOR-R_val.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/DIOR-R_3.jsonl,False,True,True,False,,True,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_3,False,False,True,True,match_iou_missing;circular_variance_missing
DIOR-R/61,DIOR-R,61,rtmdet,True,outputs/predictions/DIOR-R/61/raw/result_b61.pkl,True,/dev/shm/cqc/orientbench/predictions/DIOR-R/61/schema/pred_b61_fullval.jsonl,False,True,outputs/bench_core/gt_index/DIOR-R_val.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/DIOR-R_61.jsonl,False,True,True,False,,True,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_61,False,False,True,False,schema_not_persistent;matched_full_17field_missing;match_iou_missing;circular_variance_missing
DIOR-R/10,DIOR-R,10,lsknet,True,/dev/shm/cqc/orientbench/predictions/DIOR-R/10/raw/result_b10.pkl,True,/dev/shm/cqc/orientbench/predictions/DIOR-R/10/schema/pred_b10_fullval.jsonl,False,True,outputs/bench_core/gt_index/DIOR-R_val.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/DIOR-R_10.jsonl,False,True,True,False,,True,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_10,False,False,True,False,schema_not_persistent;match_iou_missing;circular_variance_missing
FAIR1M-v1.0/5,FAIR1M-v1.0,5,orcnn,True,outputs/predictions/FAIR1M-v1.0/5/raw/result_b5.pkl,True,/dev/shm/cqc/orientbench/predictions/FAIR1M-v1.0/5/schema/pred_b5_fullval.jsonl,False,True,outputs/bench_core/gt_index/FAIR1M-v1.0_val.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/FAIR1M-v1.0_5.jsonl,False,True,True,False,,True,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/FAIR1M-v1.0_5,False,False,True,False,schema_not_persistent;matched_full_17field_missing;match_iou_missing;circular_variance_missing
FAIR1M-v1.0/12,FAIR1M-v1.0,12,lsknet,True,/dev/shm/cqc/orientbench/predictions/FAIR1M-v1.0/12/raw/result_b12.pkl,True,/dev/shm/cqc/orientbench/predictions/FAIR1M-v1.0/12/schema/pred_b12_fullval.jsonl,False,True,outputs/bench_core/gt_index/FAIR1M-v1.0_val.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/FAIR1M-v1.0_12.jsonl,False,True,True,False,,False,,False,False,True,False,schema_not_persistent;matched_full_17field_missing;match_iou_missing;tta_missing;circular_variance_missing
SODA-A/4,SODA-A,4,orcnn,True,outputs/predictions/SODA-A/4/raw/result_b4.pkl,True,/dev/shm/cqc/orientbench/predictions/SODA-A/4/schema/pred_b4_fullval.jsonl,False,True,outputs/bench_core/gt_index/SODA-A_val.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/SODA-A_4.jsonl,False,True,True,False,,True,outputs/persistent_artifacts/orientbench_v2_047/tta_preds/SODA-A_4,False,False,True,False,schema_not_persistent;matched_full_17field_missing;match_iou_missing;circular_variance_missing
SODA-A/11,SODA-A,11,lsknet,True,/dev/shm/cqc/orientbench/predictions/SODA-A/11/raw/result_b11.pkl,True,/dev/shm/cqc/orientbench/predictions/SODA-A/11/schema/pred_b11_fullval.jsonl,False,True,outputs/bench_core/gt_index/SODA-A_val.jsonl,True,outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/SODA-A_11.jsonl,False,True,True,False,,False,,False,False,True,False,schema_not_persistent;matched_full_17field_missing;match_iou_missing;tta_missing;circular_variance_missing
HRSC2016/13,HRSC2016,13,lsknet,True,outputs/predictions/HRSC2016/13/raw/result_b13.pkl,True,outputs/predictions/HRSC2016/13/schema/pred_b13_test.jsonl,False,True,outputs/predictions/HRSC2016/_hrsc_gt.jsonl,False,,False,False,False,False,,False,,False,False,True,False,schema_not_persistent;matched_full_17field_missing;match_iou_missing;tta_missing;circular_variance_missing
