phase,scope,check,status,blocking,evidence,artifact_sha256
PREFLIGHT,frozen,thresholds.yaml SHA-256,PASS,False,expected=b7c4e649b1a3de6d0c985a5f20dc5ba70a8fb3e428c3c184e2f86bf96d593fae; actual=b7c4e649b1a3de6d0c985a5f20dc5ba70a8fb3e428c3c184e2f86bf96d593fae,b7c4e649b1a3de6d0c985a5f20dc5ba70a8fb3e428c3c184e2f86bf96d593fae
PREFLIGHT,frozen,frozen split D_audit_dior_trainval.csv,PASS,False,expected=11c61be3a03c922b5e00e4cf9e866cf73e18eff44bd6b868b53f54612065669b; actual=11c61be3a03c922b5e00e4cf9e866cf73e18eff44bd6b868b53f54612065669b,11c61be3a03c922b5e00e4cf9e866cf73e18eff44bd6b868b53f54612065669b
PREFLIGHT,frozen,frozen split D_audit_dota10_train.csv,PASS,False,expected=d4fb9a793a4c2f31ddd42cde0ba8c571114e78b2ab0d3af36002f201fafc1eb7; actual=d4fb9a793a4c2f31ddd42cde0ba8c571114e78b2ab0d3af36002f201fafc1eb7,d4fb9a793a4c2f31ddd42cde0ba8c571114e78b2ab0d3af36002f201fafc1eb7
PREFLIGHT,frozen,frozen split D_audit_dota15_train.csv,PASS,False,expected=ac97d1f3f2a780f79019612fce6f7f93d13aa9f7a65c4f1c14aa96447e743856; actual=ac97d1f3f2a780f79019612fce6f7f93d13aa9f7a65c4f1c14aa96447e743856,ac97d1f3f2a780f79019612fce6f7f93d13aa9f7a65c4f1c14aa96447e743856
PREFLIGHT,frozen,frozen split D_audit_fair1m_train.csv,PASS,False,expected=140ef6855909cdca2904656ad76baca31ff11d8c571e3978e005d945440c335e; actual=140ef6855909cdca2904656ad76baca31ff11d8c571e3978e005d945440c335e,140ef6855909cdca2904656ad76baca31ff11d8c571e3978e005d945440c335e
PREFLIGHT,frozen,frozen split D_audit_hrsc_trainval.csv,PASS,False,expected=55734ae8aa3f49350186fd066a761a54fe1a99921897012c5e59ca1fdf9f6679; actual=55734ae8aa3f49350186fd066a761a54fe1a99921897012c5e59ca1fdf9f6679,55734ae8aa3f49350186fd066a761a54fe1a99921897012c5e59ca1fdf9f6679
PREFLIGHT,frozen,frozen split D_cal_dior_trainval.csv,PASS,False,expected=f624a21451de394a35041af35c9a910c3a1bdc11fb5c942d15416e04e0e6f632; actual=f624a21451de394a35041af35c9a910c3a1bdc11fb5c942d15416e04e0e6f632,f624a21451de394a35041af35c9a910c3a1bdc11fb5c942d15416e04e0e6f632
PREFLIGHT,frozen,frozen split D_cal_dota10_train.csv,PASS,False,expected=48a0319a1ea51fcbadf43e7e632d5a77f77d3db73442acfd639acb0c455daed4; actual=48a0319a1ea51fcbadf43e7e632d5a77f77d3db73442acfd639acb0c455daed4,48a0319a1ea51fcbadf43e7e632d5a77f77d3db73442acfd639acb0c455daed4
PREFLIGHT,frozen,frozen split D_cal_dota15_train.csv,PASS,False,expected=aa59e4266872c2f3f48b6c027798255e21fae64b09519a895d3ba8deb85b9364; actual=aa59e4266872c2f3f48b6c027798255e21fae64b09519a895d3ba8deb85b9364,aa59e4266872c2f3f48b6c027798255e21fae64b09519a895d3ba8deb85b9364
PREFLIGHT,frozen,frozen split D_cal_fair1m_train.csv,PASS,False,expected=84b32cb5e0bd9a7afdc772f824e1b64f9daaca54fccdbbb98750180bc04b16a0; actual=84b32cb5e0bd9a7afdc772f824e1b64f9daaca54fccdbbb98750180bc04b16a0,84b32cb5e0bd9a7afdc772f824e1b64f9daaca54fccdbbb98750180bc04b16a0
PREFLIGHT,frozen,frozen split D_cal_hrsc_trainval.csv,PASS,False,expected=bbaf79002ad683893292101744e32e379d711f14ab7c187ae5bad42d2e37bdb0; actual=bbaf79002ad683893292101744e32e379d711f14ab7c187ae5bad42d2e37bdb0,bbaf79002ad683893292101744e32e379d711f14ab7c187ae5bad42d2e37bdb0
PREFLIGHT,frozen,formal/exploratory scope SHA-256,PASS,False,expected=33bf3ddab6374fea807018b8e82ccfc1629a34e735cb2f020daf4fe7fa93ffef; actual=33bf3ddab6374fea807018b8e82ccfc1629a34e735cb2f020daf4fe7fa93ffef,33bf3ddab6374fea807018b8e82ccfc1629a34e735cb2f020daf4fe7fa93ffef
PREFLIGHT,frozen,M3 frozen protocol SHA-256,PASS,False,expected=d88e0d4f3866ced04efc6e06dfb10ea55502bf409d827cb8b2eb7d048492a8e5; actual=d88e0d4f3866ced04efc6e06dfb10ea55502bf409d827cb8b2eb7d048492a8e5,d88e0d4f3866ced04efc6e06dfb10ea55502bf409d827cb8b2eb7d048492a8e5
PREFLIGHT,frozen,PSC Phase 1 preregistration SHA-256,PASS,False,expected=c1f88a6a975d158e42e6c26ddd936a12d269ecbd05ac7999dc11980c45292f7f; actual=c1f88a6a975d158e42e6c26ddd936a12d269ecbd05ac7999dc11980c45292f7f,c1f88a6a975d158e42e6c26ddd936a12d269ecbd05ac7999dc11980c45292f7f
PREFLIGHT,frozen,corrected M4 delta-theta JSON SHA-256,PASS,False,expected=80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb; actual=80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb
PREFLIGHT,frozen,corrected M4 delta-theta curve SHA-256,PASS,False,expected=25ed7c7bb86b23cdefc7a0090ac64c41bf84f1e08476a6bbee96badc83a9ff65; actual=25ed7c7bb86b23cdefc7a0090ac64c41bf84f1e08476a6bbee96badc83a9ff65,25ed7c7bb86b23cdefc7a0090ac64c41bf84f1e08476a6bbee96badc83a9ff65
PREFLIGHT,frozen,corrected M4 direct-stability SHA-256,PASS,False,expected=b2e2bb7b46671d0496ad059aee8a13d23041075084a3924551bc1ce58d6597f5; actual=b2e2bb7b46671d0496ad059aee8a13d23041075084a3924551bc1ce58d6597f5,b2e2bb7b46671d0496ad059aee8a13d23041075084a3924551bc1ce58d6597f5
PREFLIGHT,frozen,locked host rhino,PASS,False,lock=b38f2420e0125d64558e479aa8c414e6f66ba0b9595612b8066756d8413f65c7; checkpoint=55a90abbace429276e593f8e4418fad002240ff1951912172367d997b474f9d9; path=outputs/training/rhino/best_dota_mAP_epoch_35.pth,55a90abbace429276e593f8e4418fad002240ff1951912172367d997b474f9d9
PREFLIGHT,frozen,locked host a4_host,PASS,False,lock=f6790f8bba0a17d8286ece9324f82b2e0e30b298f660e62ddbbe6740d9725c85; checkpoint=3e32fa11114ced82c2fb5ecdb25031ff45c1d2815b034a315b1af11ef8487e32; path=outputs/training/a4_host/best_dota_mAP_epoch_70.pth,3e32fa11114ced82c2fb5ecdb25031ff45c1d2815b034a315b1af11ef8487e32
PREFLIGHT,frozen,geometry risk curve frozen definition,PASS,False,"sha=80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb; ar_domain=[1.0,1024.0]; n=313; tolerance=0.001",80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb
PREFLIGHT,reproduction,one-click command whitelist/no K2-training-inference rerun,FAIL,True,"run_scripts=['scripts/analyze_m4_human_disagreement.py', 'scripts/derive_delta_theta_075.py', 'scripts/m069_lineage_audit.py', 'scripts/m1_ar21_unify.py', 'scripts/m2_g2doubleprime_ar21.py', 'scripts/m4_risk_events.py', 'scripts/merge_m4_human_annotations.py', 'scripts/psc_phase1.py', 'scripts/recompute_m3_image_level_risk_control.py']; reused=['dcl_csl_native_endpoints', 'dior_fullval_lineage', 'dota_clean_fullval', 'k2_angle_coder_matrix', 'psc_actual_head_supplement', 'psc_phase1_forward']; forbidden_hits=[]",8cef13a8e8e64a97bf3e264ec5aa6d730af91a4e0305eb7e53f061404494f1c7
PREFLIGHT,dior_lineage,A-F persisted full-val matched inputs and manifests,PASS,False,failures=[]; A:complete:images=11738:gt=124445:matched=87224:tta=True:residue=[]:00e554fbc45d; B:complete:images=11738:gt=124445:matched=95169:tta=True:residue=[]:e1772d642990; C:complete:images=11738:gt=124445:matched=94961:tta=True:residue=[]:91d4b372e534; D:complete:images=4362:gt=78644:matched=54768:tta=True:residue=[]:fe2c0b3690e1; E:complete:images=22994:gt=449644:matched=309218:tta=True:residue=[]:337470223fae; F:complete:images=22994:gt=449644:matched=376754:tta=True:residue=[]:dd7f37b067a5,
PREFLIGHT,dota,two clean DOTA full-val persisted dumps,PASS,False,"failures=[]; ['G_dota_orcnn:055d415b6e9ec86b4f339c33a17108a02317b4bde7edf3190bbc36178dbbf79d:35316997', 'H_dota_rtmdet:4c19f140c395757b83ca868aab7763fdd0e01f99de2e345461f330a7a8c73e3e:37595709']",
PREFLIGHT,k2,K2 18 full-converged eval artifacts reused with SHA verification,PASS,False,rows=18; identities=18/18; failures=[],2f393c90f4d5d497edb7a21da61612a1de49c26ad661b4f0a54521bf00aed274
PREFLIGHT,k2,K2 PASS/outcome A frozen decision,PASS,False,"row={'decision': 'PASS', 'outcome': 'A', 'reversing_heads': 'PSC', 'n_complete_blocks': '6', 'failed_heads': 'KLD|direct_regression_le90', 'note': 'only PSC reverses under full convergence -> phase-based angle coder intrinsic confidence reverse-ranks angle risk'}",
PREFLIGHT,psc,PSC raw forward six-cell v2 manifests/post-NMS/K2 lineage,PASS,False,failures=[]; K2_final__PSC__DIOR-R__seed0:status=complete:images=11738:gt=124445:matched=85040:postnms=10:residue=[]:ok=True; K2_final__PSC__DIOR-R__seed1:status=complete:images=11738:gt=124445:matched=84552:postnms=10:residue=[]:ok=True; K2_final__PSC__DIOR-R__seed2:status=complete:images=11738:gt=124445:matched=85383:postnms=10:residue=[]:ok=True; K2_final__PSC__SODA-A__seed0:status=complete:images=22994:gt=449644:matched=302699:postnms=10:residue=[]:ok=True; K2_final__PSC__SODA-A__seed1:status=complete:images=22994:gt=449644:matched=305938:postnms=10:residue=[]:ok=True; K2_final__PSC__SODA-A__seed2:status=complete:images=22994:gt=449644:matched=307622:postnms=10:residue=[]:ok=True,2f393c90f4d5d497edb7a21da61612a1de49c26ad661b4f0a54521bf00aed274
PREFLIGHT,psc,PSC corrected actual-head six-cell network-coordinate supplements,PASS,False,failures=[]; K2_final__PSC__DIOR-R__seed0:status=complete:images=11738:gt=124445:rows=10:residue=[]:sha=601c663c13b9:ok=True; K2_final__PSC__DIOR-R__seed1:status=complete:images=11738:gt=124445:rows=10:residue=[]:sha=53e07c4eede1:ok=True; K2_final__PSC__DIOR-R__seed2:status=complete:images=11738:gt=124445:rows=10:residue=[]:sha=f712c8a65aa3:ok=True; K2_final__PSC__SODA-A__seed0:status=complete:images=22994:gt=449644:rows=10:residue=[]:sha=d94f2812c2c1:ok=True; K2_final__PSC__SODA-A__seed1:status=complete:images=22994:gt=449644:rows=10:residue=[]:sha=da4ab4fc53b4:ok=True; K2_final__PSC__SODA-A__seed2:status=complete:images=22994:gt=449644:rows=10:residue=[]:sha=6ac41495c587:ok=True,2f393c90f4d5d497edb7a21da61612a1de49c26ad661b4f0a54521bf00aed274
PREFLIGHT,psc,DCL/CSL twelve-cell geometry-endpoint native dumps,PASS,False,failures=[]; K2_final__DCL__DIOR-R__seed0:images=11738:gt=124445:matched=72153/72153:residue=[]:sha=8f284209df95:ok=True; K2_final__DCL__DIOR-R__seed1:images=11738:gt=124445:matched=74295/74295:residue=[]:sha=df75fdab1a0d:ok=True; K2_final__DCL__DIOR-R__seed2:images=11738:gt=124445:matched=73847/73847:residue=[]:sha=7c6d5cefea4d:ok=True; K2_final__DCL__SODA-A__seed0:images=22994:gt=449644:matched=281729/281729:residue=[]:sha=6842a92fd633:ok=True; K2_final__DCL__SODA-A__seed1:images=22994:gt=449644:matched=280596/280596:residue=[]:sha=75496c84e3e3:ok=True; K2_final__DCL__SODA-A__seed2:images=22994:gt=449644:matched=280853/280853:residue=[]:sha=f1cfaaaf9c2f:ok=True; K2_final__CSL__DIOR-R__seed0:images=11738:gt=124445:matched=51864/51864:residue=[]:sha=55e417a0226e:ok=True; K2_final__CSL__DIOR-R__seed1:images=11738:gt=124445:matched=48576/48576:residue=[]:sha=8a8fe6df4c6d:ok=True; K2_final__CSL__DIOR-R__seed2:images=11738:gt=124445:matched=50957/50957:residue=[]:sha=fbd389d685d0:ok=Tru...,2f393c90f4d5d497edb7a21da61612a1de49c26ad661b4f0a54521bf00aed274
