artifact,role,status,sha256,bytes,source,can_recompute
top_journal_v3_reaudit_055/reports/psc_phase1_radial_scaling.csv,six-seed radial intervention,complete,565f66df82e141621a79f5f93ce6f9081f3d049ebebb737db870ed7e5fb1693f,45995,six frozen K2 PSC Phase1 forward manifests,yes: python scripts/psc_phase1.py
top_journal_v3_reaudit_055/reports/psc_phase1_branch_decision.csv,frozen radial branch decision,complete,72cff2031ae677c57887fc5219f652df3eeca83d08f060488735904bc2240309,2561,six frozen K2 PSC Phase1 forward manifests,yes: python scripts/psc_phase1.py
top_journal_v3_reaudit_055/reports/psc_phase1_dissection.csv,twelve preregistered analyses,complete,cec64657f33a8415e6ff13041740db25964a24a5d724972de9f173d2fab26394,227654,six frozen K2 PSC Phase1 forward manifests,yes: python scripts/psc_phase1.py
top_journal_v3_reaudit_055/reports/psc_phase1_score_comparison.csv,ar>=2.1 geometry-event score comparison,complete,aaf2127d4668014c677338bbb052c1f2366d5f5aae2d34d0d90c43f0f5c8bdb3,43831,six frozen K2 PSC Phase1 forward manifests,yes: python scripts/psc_phase1.py
top_journal_v3_reaudit_055/reports/psc_phase1_nontriviality_audit.csv,registered candidate nontriviality audit,complete,4499471020c1475241e1e9592d22cab4922811ae6dc1ea6126715370b143ca23,7842,six frozen K2 PSC Phase1 forward manifests,yes: python scripts/psc_phase1.py
top_journal_v3_reaudit_055/reports/psc_phase1_split_gate_decision.csv,four-condition split gate,complete,73ad759d5f721b9eecd9a304ded863f7a69eff87b38bde01bbb7ad7a9a49bf63,1975,six frozen K2 PSC Phase1 forward manifests,yes: python scripts/psc_phase1.py
docs/psc_phase1_radial_scaling_intervention.md,radial intervention report,complete,90efbafee80ab6cec7a6ccdb481125efe59538170e8ce16aaed034cbe75dacb9,1584,six frozen K2 PSC Phase1 forward manifests,yes: python scripts/psc_phase1.py
docs/psc_phase1_split_gate_report.md,split gate report,complete,0cb3237c8254b9122fb34f5093e3f4643c288f7fc129e50373ebadade23aaf65,939,six frozen K2 PSC Phase1 forward manifests,yes: python scripts/psc_phase1.py
docs/psc_phase1_preregistration.md,frozen preregistration,frozen,c1f88a6a975d158e42e6c26ddd936a12d269ecbd05ac7999dc11980c45292f7f,3569,historical start anchor,no; immutable registration
top_journal_v3_reaudit_055/reports/k2_artifact_manifest_067.csv,frozen K2 artifact index,validated_input,2f393c90f4d5d497edb7a21da61612a1de49c26ad661b4f0a54521bf00aed274,9225,frozen protocol chain,no
top_journal_v3_reaudit_055/reports/m4_delta_theta_075_frozen.json,frozen geometry-normalized risk threshold,validated_input,80d86a5f72e70405fe4a49db87aad61e6aea20a26af0ad1c5745bfd646d1e5cb,12986,frozen protocol chain,no
scripts/psc_phase1.py,PSC Phase1 aggregation script,validated_input,3d2891328de6f6d0eaf5f6629db8ecd100f0ec24a0ce04ed6da44151542011e7,89823,frozen protocol chain,source code
scripts/m069_psc_phase1_forward.py,PSC radial forward source,validated_input,21c01bee04fb0a965cc0989ea009571148cf5bd7a02fb77335993e15856ffb65,42422,frozen protocol chain,source code
scripts/m069_psc_actual_loss_supplement.py,network-coordinate actual-head supplement source,validated_input,593a1690e2f924e5683e4b13993d94c4c6c01fee6db04c74c6b15b56b0f69075,11860,frozen protocol chain,source code
scripts/m069_psc_native_signal_dump.py,DCL/CSL native endpoint source,validated_input,12d6397bbcff29fbd37fd0b805872e954c1b76579545d1d6a08899f22c7b329a,14116,frozen protocol chain,source code
top_journal_v3_reaudit_055/orientbench_ext/instrumented_heads.py,post-NMS encoded-angle instrumentation source,validated_input,430ace7d1c3c955e24d17f382189d7e7b8c2229faa5f21f7473e342eaa175822,4892,frozen protocol chain,source code
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__DIOR-R__seed0.json,frozen DCL native-signal reference,validated_input,8a2436fd3d928c667dabc5a4444f6c10f2ee68749e0b35371a17a28fff2534ff,866,DIOR-R seed0,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__DIOR-R__seed1.json,frozen DCL native-signal reference,validated_input,c5955a5fbe14f9ae73fe36b8877e854e225fa749ec3cb8d74ef69de779f2a0a3,866,DIOR-R seed1,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__DIOR-R__seed2.json,frozen DCL native-signal reference,validated_input,1a23f7ff9774a7a67333556deccc74baa94d46843a89ae3744475e8be5b53fdb,866,DIOR-R seed2,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__SODA-A__seed0.json,frozen DCL native-signal reference,validated_input,b00ed3663d163bf262ce9626c6029a4443bdd3f1d2cc99e4add54603df10ed9d,869,SODA-A seed0,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__SODA-A__seed1.json,frozen DCL native-signal reference,validated_input,3e35308b888eee059a5a417f96720ef85542d367f74a294f4da4686cb6de308e,868,SODA-A seed1,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__DCL__SODA-A__seed2.json,frozen DCL native-signal reference,validated_input,22c0c9e4cee81ba17190e66d8c3578f16001e18cfba2fd6b5258084070d0f06b,867,SODA-A seed2,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__DIOR-R__seed0.json,frozen CSL native-signal reference,validated_input,be0fcd4b55d494990a9b58126ef0242edaa87339fa44df23fbc6699b7b787f07,876,DIOR-R seed0,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__DIOR-R__seed1.json,frozen CSL native-signal reference,validated_input,fa3ab1532b0f02b84b5660760642903cd54dc72b0758be6b6ae0b869beca5b70,875,DIOR-R seed1,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__DIOR-R__seed2.json,frozen CSL native-signal reference,validated_input,6bdd671bbc9b28efd196980e20e6c496ddd3431032aa9f0e5bc3453a2acbe62b,877,DIOR-R seed2,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__SODA-A__seed0.json,frozen CSL native-signal reference,validated_input,b6fc993647898fe607a31d541080fd966a09dd7f58d775df22b52bf07c6b2aa3,875,SODA-A seed0,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__SODA-A__seed1.json,frozen CSL native-signal reference,validated_input,52a6c73ce88cfb88cef582d16e45e1cf2eba0318ed721e5d413bfc662add9018,874,SODA-A seed1,frozen K2 evaluator only
top_journal_v3_reaudit_055/reports/k2_eval/K2_final__CSL__SODA-A__seed2.json,frozen CSL native-signal reference,validated_input,351dd1302fd549aa810fbdcc50576e228a0b5147f72658234255e7975e792c1d,878,SODA-A seed2,frozen K2 evaluator only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/manifest.json,forward manifest,validated_input,1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,5920,DIOR-R seed0,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/radial_full_evaluator.csv,radial evaluator source,validated_input,364997d76a65d96fcb221afb317441c0e241549b6b77ab76a013a47441b47a33,4127,DIOR-R seed0,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/matched_phase.jsonl,matched phase source,validated_input,e793354efdb9db4fbdaaebda91e5d46c47b4529a57ca88fcf7fd3ae2dba60856,136432125,DIOR-R seed0,forward preregistration only
top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed0/epoch_12.pth,frozen K2 checkpoint,validated_input,dcaa351dbb558ce9e623197ad8c8a127390d748268f1ee6879a173d363fcf225,300792162,DIOR-R seed0,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/actual_head_loss_network_space_manifest.json,network-coordinate actual-head supplement manifest,validated_input,601c663c13b9ec9e01002bc744a26e4e1480da265b0a72a0d54882b2301e0660,2167,DIOR-R seed0,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed0/actual_head_loss_network_space.csv,network-coordinate actual-head supplement summary,validated_input,1c382edf366f6931db6f31705bda4731bf57a9e77c4c14afc857531591a83a0f,1489,DIOR-R seed0,targeted actual-head supplement only
top_journal_v3_reaudit_055/logs/m069/psc_phase1_actual_loss/DIOR-R_seed0.log,network-coordinate actual-head supplement completion log,validated_input,fd7e5411434d253225257c2673d2b91d0a78979952d04094b0c7ec1c9a97f17f,901,DIOR-R seed0,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/manifest.json,forward manifest,validated_input,f285a0f0672e5965cd240c02ccaf97670b5a88eca52a9a76b554aba39ee8baa0,5920,DIOR-R seed1,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/radial_full_evaluator.csv,radial evaluator source,validated_input,4ba38607120be87d91370602a27f626950a52325038c2deb194e4fc4ae0bb9e3,4133,DIOR-R seed1,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/matched_phase.jsonl,matched phase source,validated_input,7850258f6d9b8a833d4cc64348e72f19b5466b81a69af2124c83f9d7c637760c,134224549,DIOR-R seed1,forward preregistration only
top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed1/epoch_12.pth,frozen K2 checkpoint,validated_input,800b7294a303d0f8f144ffd951530580af9622b83c3e8c6d384c72e987e801e8,300792930,DIOR-R seed1,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/actual_head_loss_network_space_manifest.json,network-coordinate actual-head supplement manifest,validated_input,53e07c4eede1e66611e57345864e265ac014e63cf5c60ebbbb64c7708420336f,2167,DIOR-R seed1,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/actual_head_loss_network_space.csv,network-coordinate actual-head supplement summary,validated_input,97942be0c6c4c3ce71627a780e51c565e295bdab1ed1c451e6553a4d81427490,1486,DIOR-R seed1,targeted actual-head supplement only
top_journal_v3_reaudit_055/logs/m069/psc_phase1_actual_loss/DIOR-R_seed1.log,network-coordinate actual-head supplement completion log,validated_input,1fce05f64448b88628148028b218e6e19a578c1b2d2c8c27e53efa01ceba69d7,901,DIOR-R seed1,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/manifest.json,forward manifest,validated_input,2931fa9680ab95cee348f694d74cad57ce7f3c39caf67daeef8c0e372e048cfa,5920,DIOR-R seed2,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/radial_full_evaluator.csv,radial evaluator source,validated_input,ab2e035ee8be13528f7aad9f61c6250b97d2dda38ff3dcac93171bd522943267,4135,DIOR-R seed2,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/matched_phase.jsonl,matched phase source,validated_input,98cdeb2f22b0c95a29ae26fc607c10b5eb22e9fee79a704e97e1b0e68a44b2de,135557469,DIOR-R seed2,forward preregistration only
top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__DIOR-R__seed2/epoch_12.pth,frozen K2 checkpoint,validated_input,5f1b80d0c10d44396596b216495ab918f888b5a6155b2cb8fb04f9f3e50cccb0,300792482,DIOR-R seed2,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/actual_head_loss_network_space_manifest.json,network-coordinate actual-head supplement manifest,validated_input,f712c8a65aa3211595de3446b604b1d7c08a65749596e914500f2a7d89cc09b2,2167,DIOR-R seed2,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/actual_head_loss_network_space.csv,network-coordinate actual-head supplement summary,validated_input,b75ddc87955f9afc83af64d72f9a3c1930b359d7151470e82a4751b169a92b7b,1492,DIOR-R seed2,targeted actual-head supplement only
top_journal_v3_reaudit_055/logs/m069/psc_phase1_actual_loss/DIOR-R_seed2.log,network-coordinate actual-head supplement completion log,validated_input,5d0cb9362d42546daacd0c8ec5e7c3dd8561001f40e5489d1eee776fcf2f1f0b,900,DIOR-R seed2,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/manifest.json,forward manifest,validated_input,141fc28ebdbd57761df34717b643a9b7bfd2414548eca5a274412b52778347e3,5926,SODA-A seed0,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/radial_full_evaluator.csv,radial evaluator source,validated_input,d28c1aeb77fed1551a14aa3f580583b21e7fa2ad779684eabfaab0587d97db6f,4142,SODA-A seed0,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/matched_phase.jsonl,matched phase source,validated_input,09acdd753960b7d935da2f3f09b502ae9134ef16a0f19c6ffdfd547cfb40bdc8,505156804,SODA-A seed0,forward preregistration only
top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed0/epoch_12.pth,frozen K2 checkpoint,validated_input,c4e272b2f59096da98ef990385a09998faead416a9b0577586219bbb9141c512,304860706,SODA-A seed0,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/actual_head_loss_network_space_manifest.json,network-coordinate actual-head supplement manifest,validated_input,d94f2812c2c1ae7d2653b57ac735781b4b9725079d8c1483fbbe88fbb6e883b6,2172,SODA-A seed0,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/actual_head_loss_network_space.csv,network-coordinate actual-head supplement summary,validated_input,3d7912d01ac36b66f5071f0fbb7ad51f8f49f2bd8fe9562bf0d8193f19bd62c8,1487,SODA-A seed0,targeted actual-head supplement only
top_journal_v3_reaudit_055/logs/m069/psc_phase1_actual_loss/SODA-A_seed0.log,network-coordinate actual-head supplement completion log,validated_input,f32d2fe5336ff88d6cce7b06d0c36dab6803d88c73a3e6fb4cc82586950655d0,1670,SODA-A seed0,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/manifest.json,forward manifest,validated_input,b76b49e4855e2d1de53da5c5dc9322a83f490675750d05c4ca5d159ffee82cc0,5927,SODA-A seed1,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/radial_full_evaluator.csv,radial evaluator source,validated_input,2c834d18d441ce7fa67234f83ee708ceb89fd001a9a96170c79db52abc00a7a4,4148,SODA-A seed1,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/matched_phase.jsonl,matched phase source,validated_input,8aeeaf2d439098da9045644c7cf99d72bcf8b5c0d3f7144b8893ed7e4cf03b84,505413894,SODA-A seed1,forward preregistration only
top_journal_v3_reaudit_055/work_dirs/k2/K2_final__PSC__SODA-A__seed1/epoch_12.pth,frozen K2 checkpoint,validated_input,e3c16510c1f675c3792ddd9b746a7c0f7c8c07b463e1b3cf766d51e7cc088580,305149154,SODA-A seed1,forward preregistration only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/actual_head_loss_network_space_manifest.json,network-coordinate actual-head supplement manifest,validated_input,da4ab4fc53b4f9eba58d4a4bfdd7fe235fd9d9fd9ac35fac89c731eff949b918,2172,SODA-A seed1,targeted actual-head supplement only
outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/actual_head_loss_network_space.csv,network-coordinate actual-head supplement summary,validated_input,d0740ceb99670a3e0ac56d33bda378c09e24df5a0180341a8e73130d001af1e9,1489,SODA-A seed1,targeted actual-head supplement only
top_journal_v3_reaudit_055/logs/m069/psc_phase1_actual_loss/SODA-A_seed1.log,network-coordinate actual-head supplement completion log,validated_input,1ecf66204bd79302250211f55015b9980500873dbe44d476b861c1625013eae4,1671,SODA-A seed1,targeted actual-head supplement only
