dataset,seed,intervention,parameter,prediction_identity_equal,exact_image_proportion,score_label_count_equal_proportion,box_equal,class_equal,detection_score_equal,nms_membership_equal,nms_order_equal,evidence_role
DIOR-R,0,RADIAL_FULL_EVALUATOR,0.25,False,0.00042597,0.53901857,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,0.5,False,0.27517465,0.8002215,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,0.75,False,0.68674391,0.97307889,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,0.9,False,0.79289487,0.99182143,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,1.0,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,1.1,False,0.81461919,0.99369569,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,1.25,False,0.77900835,0.98875447,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,1.5,False,0.75276879,0.98398364,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,2.0,False,0.84588516,0.98134265,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,RADIAL_FULL_EVALUATOR,4.0,False,0.82773897,0.97844607,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,0,multi_frequency_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,0,unwrap_candidate_energy_gap,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,0,phase_direction_margin,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,0,tta_phase_direction_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,0.25,False,0.00068155,0.52351338,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,0.5,False,0.26409951,0.79817686,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,0.75,False,0.70932016,0.98023513,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,0.9,False,0.81265974,0.99505878,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,1.0,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,1.1,False,0.82756858,0.99633668,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,1.25,False,0.79493951,0.99275856,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,1.5,False,0.76776282,0.99011757,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,2.0,False,0.87595843,0.98781735,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,RADIAL_FULL_EVALUATOR,4.0,False,0.86164594,0.9857727,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,1,multi_frequency_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,1,unwrap_candidate_energy_gap,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,1,phase_direction_margin,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,0.25,False,0.00051116,0.53901857,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,0.5,False,0.3015846,0.80397001,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,0.75,False,0.73147044,0.97946839,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,0.9,False,0.81410803,0.99403646,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,1.0,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,1.1,False,0.83191344,0.99582552,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,1.25,False,0.80311808,0.99139547,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,1.5,False,0.78446073,0.98807293,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,2.0,False,0.88456296,0.9858579,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,RADIAL_FULL_EVALUATOR,4.0,False,0.8699097,0.9832169,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
DIOR-R,2,multi_frequency_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,2,unwrap_candidate_energy_gap,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
DIOR-R,2,phase_direction_margin,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,0.25,False,0.15847612,0.61955293,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,0.5,False,0.51035053,0.83065147,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,0.75,False,0.73693137,0.96955728,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,0.9,False,0.82286683,0.99043229,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,1.0,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,1.1,False,0.84378534,0.99369401,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,1.25,False,0.81516917,0.98882317,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,1.5,False,0.79768635,0.98612682,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,2.0,False,0.86183352,0.98203879,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,RADIAL_FULL_EVALUATOR,4.0,False,0.8476994,0.98051666,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,0,multi_frequency_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,0,unwrap_candidate_energy_gap,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,0,phase_direction_margin,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,0,tta_phase_direction_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,0.25,False,0.10894146,0.56514743,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,0.5,False,0.4041924,0.79533791,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,0.75,False,0.68087327,0.97225363,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,0.9,False,0.78890145,0.99165,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,1.0,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,1.1,False,0.80634078,0.99534661,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,1.25,False,0.77059233,0.99108463,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,1.5,False,0.74471601,0.98664869,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,2.0,False,0.82482387,0.98282161,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,4.0,False,0.80721058,0.98016874,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,multi_frequency_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,1,unwrap_candidate_energy_gap,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,1,phase_direction_margin,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,0.25,False,0.11803079,0.56875707,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,0.5,False,0.42028355,0.79920849,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,0.75,False,0.677829,0.97060103,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,0.9,False,0.78376968,0.9920414,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,1.0,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,1.1,False,0.8071236,0.99404192,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,1.25,False,0.77537619,0.98864921,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,1.5,False,0.74597721,0.9845177,False,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,2.0,False,0.81708272,0.98103853,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,4.0,False,0.80003479,0.97847265,True,False,False,False,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,multi_frequency_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,2,unwrap_candidate_energy_gap,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
SODA-A,2,phase_direction_margin,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
FAIR1M-v1.0,0,OFFLINE_VECTOR_INTERVENTIONS,all,True,1.0,1.0,False,True,True,NOT_REEVALUATED,NOT_REEVALUATED,MECHANISM_ONLY_NOT_RANKING_ONLY
FAIR1M-v1.0,0,multi_frequency_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
FAIR1M-v1.0,0,unwrap_candidate_energy_gap,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
FAIR1M-v1.0,0,phase_direction_margin,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
FAIR1M-v1.0,1,OFFLINE_VECTOR_INTERVENTIONS,all,True,1.0,1.0,False,True,True,NOT_REEVALUATED,NOT_REEVALUATED,MECHANISM_ONLY_NOT_RANKING_ONLY
FAIR1M-v1.0,1,multi_frequency_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
FAIR1M-v1.0,1,unwrap_candidate_energy_gap,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
FAIR1M-v1.0,1,phase_direction_margin,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
FAIR1M-v1.0,2,OFFLINE_VECTOR_INTERVENTIONS,all,True,1.0,1.0,False,True,True,NOT_REEVALUATED,NOT_REEVALUATED,MECHANISM_ONLY_NOT_RANKING_ONLY
FAIR1M-v1.0,2,multi_frequency_consistency,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
FAIR1M-v1.0,2,unwrap_candidate_energy_gap,score_only,True,1.0,1.0,True,True,True,True,True,RANKING_ONLY
