"topic","authoritative_file","status","supersedes","can_recompute","notes"
"K1 full-val AP","top_journal_v3_reaudit_055/reports/table1_fullval_final_065.csv","authoritative_pre_069","old DIOR partial-GT AP anchors 0.6964|0.7999|0.8866","yes_gpu","Six full-val cells; use scripts/recompute_table1_by_inference_065.py and persistent GT."
"K2 angle-coder matrix","top_journal_v3_reaudit_055/reports/k2_go_no_go_decision_067.csv; top_journal_v3_reaudit_055/reports/k2_angle_coder_block_results.csv","authoritative_pre_069","R1 063/064 preliminary","yes_aggregate","PASS outcome A; aggregate 18 k2_eval JSONs with k2_aggregate_go_no_go_067.py."
"K3 GT-noise proxy","top_journal_v3_reaudit_055/reports/k3_gt_angle_noise_by_dataset.csv; top_journal_v3_reaudit_055/docs/k3_gt_angle_noise_audit.md","authoritative_pre_069_partial","any wording treating jitter as human annotation variance","yes_cpu","PARTIAL corner-jitter refit proxy; human double labels absent."
"K4 mask threshold","top_journal_v3_reaudit_055/docs/k4a_mask_threshold_principle.md; top_journal_v3_reaudit_055/reports/k4a_ar_threshold_sensitivity_066.csv; top_journal_v3_reaudit_055/reports/k4a_mask_ratio_by_dataset.csv","authoritative_pre_069","ar>=1.6 as sole main mask","yes_cpu","Derived ar approximately 2.1 is the principle; 1.6 and 1.3 are sensitivity."
"DOTA full-val","top_journal_v3_reaudit_055/reports/k4b_dota_full_val_metrics.csv; top_journal_v3_reaudit_055/reports/k4b_dota_cell_inclusion_exclusion_066.csv","authoritative_pre_069","DOTA-v1.0/20 19-image incomplete cell","yes_gpu","ORCNN and RTMDet-M clean full-val; DOTA#20 excluded."
"conformal risk control","top_journal_v3_reaudit_055/reports/pre_submission_s1s5_v1/s1c_ltt_conformal_tables_v1.csv; docs/paper_zh_post_k1k4_068/orientation_reliability_paper_zh.md","authoritative_for_068_but_requires_replacement","older non-independent conformal tables","yes_cpu","068 formal guarantee is still instance-level exact binomial; image bootstrap is only an interval."
"current Chinese manuscript","docs/paper_zh_post_k1k4_068/orientation_reliability_paper_zh.md","authoritative_068_manuscript","paper_zh_s1s5_v3_review and reduced-scope older drafts","no","SHA256 8104f4c059428cf7330179cc83939049c0a4ff47e37e84bf3fc107e51b0c35b0; not modified in takeover."
"reproduction script","scripts/reproduce_all_main_tables.sh","current_entry_unvalidated_do_not_run","pre-069 script revision","partial","SHA256 7fef8f7cc1ac8e27463d72d24f0e8ea4934454a823aea96b82bef54e63668bc7; post-068 069 steps execute even with --fast; no end-to-end run."
"thresholds","configs/thresholds.yaml","frozen_verified","all draft/candidate threshold files","no_verify_only","SHA256 b7c4e649b1a3de6d0c985a5f20dc5ba70a8fb3e428c3c184e2f86bf96d593fae."
"D_cal / D_audit","outputs/bench_core/splits/D_cal_*.csv; outputs/bench_core/splits/D_audit_*.csv; outputs/bench_core/splits/splits_summary.json","frozen_verified","none","no_verify_only","Ten split files unchanged since 2026-06-25; deterministic and mutually exclusive."
"formal / exploratory scope","outputs/bench_core/reports/full_matrix_execution_plan.csv; outputs/bench_core/reports/claim_ledger.md; outputs/bench_core/reports/final_matrix_summary.csv","authoritative_unchanged","none","no_verify_only","DOTA formal-compatible; non-DOTA cross-dataset cells remain exploratory."
"host checkpoints","outputs/training/rhino/SNAPSHOT_LOCK.json; outputs/training/a4_host/SNAPSHOT_LOCK.json","locked_verified","superseded invalid host runs","no_verify_only","RHINO 55a90abb...; A4 3e32fa11...; current checkpoint hashes match locks."
"reliability matched inputs","outputs/persistent_artifacts/orientbench_real_052/matched_tables; top_journal_v3/reports/full_matched_tables_052.csv","persistent_with_provenance_debt","ephemeral 052 copies","derived_only","No live /dev/shm read; DIOR lineage is partial 5863 images/35436 GT and must not be called full-val."
"post-068 M1 candidate","top_journal_v3_reaudit_055/reports/m1_all_main_results_ar21.csv; top_journal_v3_reaudit_055/reports/m1_decision.csv","unratified_069_replacement","mixed ar1.6/ar2.0 tables in 068","yes_cpu","Disk says PASS; created by pre-existing 069-REPLACEMENT and awaits supervisor disposition."
"post-068 M2 candidate","top_journal_v3_reaudit_055/reports/m2_g2doubleprime_ar21.csv; top_journal_v3_reaudit_055/reports/m2_g2doubleprime_decision.csv","unratified_069_replacement_fail","068 geometry-specific gain table","yes_cpu","Disk says FAIL; only cell B supports at least two size bins."
"post-068 M3 candidate","top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv; top_journal_v3_reaudit_055/reports/m3_decision.csv","unratified_069_replacement","068 instance-iid formal guarantee","yes_cpu","Disk says image-level PASS; implementation and provenance not ratified in this takeover."
"post-068 M4 candidate","top_journal_v3_reaudit_055/reports/m4_geometry_normalized_risk.csv; top_journal_v3_reaudit_055/reports/m4_fixed_angle_sensitivity.csv","unratified_069_replacement","fixed 5-degree primary event","yes_cpu","Geometry-normalized severe event plus 5/10/15 degree sensitivity."
"post-068 PSC Phase1 candidate","top_journal_v3_reaudit_055/reports/psc_phase1_split_gate_decision.csv; docs/psc_phase1_split_gate_report.md","unratified_069_replacement","K2-only PSC mechanism framing","yes_cpu","Disk says branch A and PASS; awaits supervisor disposition."
"human annotation anchor","top_journal_v3_reaudit_055/reports/m4_human_annotation_disagreement.csv; annotation_tools/m4_angle_annotation","pending_human_labels","proxy-only K3 boundary","no_human_required","Zero completed pairs; cannot be computed without two independent blinded annotators."
