work_package,status,evidence,authoritative_artifact,notes
M1 ar>=2.1 protocol unification,VERIFIED_COMPLETE,All primary rows use ar>=2.1; ar1.6/ar1.3 are sensitivity only.,reports/m1_all_main_results_ar21.csv,No duplicate namespace or repeated detector/K2 computation.
M2 G2_double_prime,VERIFIED_COMPLETE,Preregistered decision=PASS; a FAIL is complete evidence and demotes geometry score to appendix.,reports/m2_g2doubleprime_decision.csv,No duplicate namespace or repeated detector/K2 computation.
M3 image-level risk control,VERIFIED_COMPLETE,Complete-image bounded-loss HB LTT is the formal guarantee; instance-i.i.d. is audit-only.,reports/m3_image_level_ltt.csv,No duplicate namespace or repeated detector/K2 computation.
geometry-normalized risk event,VERIFIED_COMPLETE,Frozen first-crossing delta_theta_0.75 and ar>=2.1 lineage verified.,reports/m4_geometry_normalized_risk.csv,No duplicate namespace or repeated detector/K2 computation.
5/10/15 degree sensitivity,VERIFIED_COMPLETE,Fixed-angle endpoints are sensitivity results; 5-degree results are noise-sensitive where specified.,reports/m4_fixed_angle_sensitivity.csv,No duplicate namespace or repeated detector/K2 computation.
real independent human double annotation,HUMAN_BLOCKED,Machine package is complete; no labels are fabricated.,reports/m4_human_annotation_disagreement.csv,No duplicate namespace or repeated detector/K2 computation.
PSC Phase 1 radial scaling,VERIFIED_COMPLETE,Original preregistered start/deadline retained; persisted intervention and actual-head supplement verified.,reports/psc_phase1_radial_scaling.csv,No duplicate namespace or repeated detector/K2 computation.
PSC Phase 1 preregistered analyses,VERIFIED_COMPLETE,Only preregistered analyses and frozen K2/native endpoints are used.,reports/psc_phase1_score_comparison.csv,No duplicate namespace or repeated detector/K2 computation.
PSC split gate,VERIFIED_COMPLETE,Terminal preregistered decision=PASS; FAIL/DEADLINE closes the split branch without blocking the main protocol.,reports/psc_phase1_split_gate_decision.csv,No duplicate namespace or repeated detector/K2 computation.
DOTA clean full-val,VERIFIED_COMPLETE,Exactly two clean full-val cells; DOTA#20 excluded.,reports/k4b_dota_full_val_metrics.csv,No duplicate namespace or repeated detector/K2 computation.
one-click reproduction,VERIFIED_COMPLETE,Actual CPU-only end-to-end rebuild completed; historical K2/forward/DOTA artifacts were hash-revalidated rather than rerun.,logs/reproduce_all_main_tables_069.log,No duplicate namespace or repeated detector/K2 computation.
submission freeze gate,HUMAN_BLOCKED,Final state=NOT_FROZEN.,reports/069_submission_freeze_gate.csv,No duplicate namespace or repeated detector/K2 computation.
DIOR partial-GT lineage debt,VERIFIED_COMPLETE,All formal DIOR reliability inputs are full-val; 052 partial/wrong-split values remain superseded only.,reports/069_dior_partial_gt_lineage_audit.csv,No duplicate namespace or repeated detector/K2 computation.
same-path Chinese manuscript integration,VERIFIED_COMPLETE,Final M1/M2/M3/M4/PSC semantics are integrated into the existing 068 manuscript path; no duplicate paper version.,docs/paper_zh_post_k1k4_068/orientation_reliability_paper_zh.md,No duplicate namespace or repeated detector/K2 computation.
historical sentinel integrity audit,VERIFIED_COMPLETE,"Completion was established from schema, values, normal-end logs, manifests and SHA-256, never sentinel existence alone.",reports/069_final_reproduction_status.csv,No duplicate namespace or repeated detector/K2 computation.
