angle_head,dataset,lr_sweep_grid,pilot_seeds_per_lr,tuning_budget_runs,select_by,final_seeds_at_chosen_lr,amp,usable_convergence_gate,note
PSC,DIOR-R,0.0025/0.005/0.01,1,3,val mAP@0.5 (usable convergence),3,AMP default; FP32 fallback allowed IF AMP-induced instability (must record),AP50/AP75 not collapsed; loss finite; else failed_training,"equal tuning budget across heads (3-LR sweep + 1 pilot seed each), then 3 seeds at best LR"
PSC,SODA-A,0.0025/0.005/0.01,1,3,val mAP@0.5 (usable convergence),3,AMP default; FP32 fallback allowed IF AMP-induced instability (must record),AP50/AP75 not collapsed; loss finite; else failed_training,"equal tuning budget across heads (3-LR sweep + 1 pilot seed each), then 3 seeds at best LR"
CSL,DIOR-R,0.0025/0.005/0.01,1,3,val mAP@0.5 (usable convergence),3,AMP default; FP32 fallback allowed IF AMP-induced instability (must record),AP50/AP75 not collapsed; loss finite; else failed_training,"equal tuning budget across heads (3-LR sweep + 1 pilot seed each), then 3 seeds at best LR"
CSL,SODA-A,0.0025/0.005/0.01,1,3,val mAP@0.5 (usable convergence),3,AMP default; FP32 fallback allowed IF AMP-induced instability (must record),AP50/AP75 not collapsed; loss finite; else failed_training,"equal tuning budget across heads (3-LR sweep + 1 pilot seed each), then 3 seeds at best LR"
DCL,DIOR-R,0.0025/0.005/0.01,1,3,val mAP@0.5 (usable convergence),3,AMP default; FP32 fallback allowed IF AMP-induced instability (must record),AP50/AP75 not collapsed; loss finite; else failed_training,"equal tuning budget across heads (3-LR sweep + 1 pilot seed each), then 3 seeds at best LR"
DCL,SODA-A,0.0025/0.005/0.01,1,3,val mAP@0.5 (usable convergence),3,AMP default; FP32 fallback allowed IF AMP-induced instability (must record),AP50/AP75 not collapsed; loss finite; else failed_training,"equal tuning budget across heads (3-LR sweep + 1 pilot seed each), then 3 seeds at best LR"
direct_regression_le90,DIOR-R,0.0025/0.005/0.01,1,3,val mAP@0.5 (usable convergence),3,AMP default; FP32 fallback allowed IF AMP-induced instability (must record),AP50/AP75 not collapsed; loss finite; else failed_training,"equal tuning budget across heads (3-LR sweep + 1 pilot seed each), then 3 seeds at best LR"
direct_regression_le90,SODA-A,0.0025/0.005/0.01,1,3,val mAP@0.5 (usable convergence),3,AMP default; FP32 fallback allowed IF AMP-induced instability (must record),AP50/AP75 not collapsed; loss finite; else failed_training,"equal tuning budget across heads (3-LR sweep + 1 pilot seed each), then 3 seeds at best LR"
KLD,DIOR-R,0.0025/0.005/0.01,1,3,val mAP@0.5 (usable convergence),3,AMP default; FP32 fallback allowed IF AMP-induced instability (must record),AP50/AP75 not collapsed; loss finite; else failed_training,"equal tuning budget across heads (3-LR sweep + 1 pilot seed each), then 3 seeds at best LR"
KLD,SODA-A,0.0025/0.005/0.01,1,3,val mAP@0.5 (usable convergence),3,AMP default; FP32 fallback allowed IF AMP-induced instability (must record),AP50/AP75 not collapsed; loss finite; else failed_training,"equal tuning budget across heads (3-LR sweep + 1 pilot seed each), then 3 seeds at best LR"
