owner,asset,allowed_shared_use,prohibited_duplicate,status
paper_A,measurement_protocol,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,canonical_angle_error,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,ar_ge_2.1_protocol,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,delta_tau_geometry,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,generic_NRC_AURC_risk_coverage,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,geometry_normalized_event,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,image_scene_risk_control,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,human_annotation_anchor,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,full_evaluator_perturbation,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,generic_cross_dataset_results,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,score_menu_certification,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,mother_scene_statistics,definition/brief description only,paper_B full main table,FROZEN_G0
paper_A,evaluation_toolbox,definition/brief description only,paper_B full main table,FROZEN_G0
paper_B,PSC_phase_mod,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,negative_phase_mod,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,PSC_CSL_DCL_three_dataset_three_seed_table,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,radial_tangential_intervention,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,single_multi_frequency_analysis,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,wrapping_modulation,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,phase_direction_margin,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,unwrap_energy_gap,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,TTA_phase_direction_consistency,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,PSC_variant,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,PSC_score_repair,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
paper_B,B0_B7_gates,brief boundary observation only,paper_A full mechanism table,FROZEN_G0
legacy_combined_document,docs/074_orientation_reliability_AB_split_full_report.md,historical read-only source,"contains Paper A and Paper B material in one document, including a full PSC/CSL/DCL multi-seed table in the Paper A portion",EXISTING_CROSS_BOUNDARY_ASSET_DO_NOT_COPY; remove mechanism table from next Paper A revision
