item,value
checkpoint,best_mAP_5489_epoch_32.pth
filename_5489_means,"dota/mAP (multi-threshold primary metric) = 0.5469, NOT AP50"
log_dota_AP50,0.6440
log_dota_AP75,0.4500
my_recompute_AP50,0.6462
my_recompute_AP75,0.452
AP50_diff_vs_log,0.0022 (consistent)
AP75_diff_vs_log,0.002 (consistent)
config,same taos_pad32 config loaded; pad_size_divisor=32; Resize 800 keep_ratio; test/annfiles; 20-class DIOR
split,DIOR trainval->test full-val (11738 img / 124445 GT)
evaluator,torch VOC-AP == DOTAMetric (K1-validated)
verdict,RESOLVED: no residual. Earlier '0.5489 vs 0.6462' gap was mAP-vs-AP50 metric-name confusion. AP50 matches log.
