class,claim
allowed,DOTA-scoped C1 augmentation-view consistency passed frozen D_audit formal gate.
allowed,DOTA-scoped A4 same-host source-attribution passed frozen D_audit formal gate.
allowed,DOTA D2 partial frozen gate (3 detectors) passed.
allowed,"Host checkpoints (RHINO 55a90abb, O2-RTDETR 3e32fa11) are locked and hash-recorded."
allowed,Thresholds for D2/host/C1/A4 are frozen from D_cal; D_audit was holdout only.
qualified,"C1 is augmentation-view consistency, NOT genuine physical multi-view."
qualified,"A4 attribution is same-host statistical source attribution, NOT cross-host causality."
qualified,"All results are DOTA-scoped (RHINO DOTA-v1.0, O2-RTDETR DOTA-v1.5)."
qualified,C1/A4 are partial_pass at project level; full project gate is incomplete.
forbidden,OrientBench full benchmark complete.
forbidden,C1 genuine physical multi-view solved.
forbidden,A4 proves causal source attribution across models.
forbidden,9-detector matrix complete.
forbidden,All datasets covered.
forbidden,ARS-DETR substituted RHINO.
