dataset,baseline_id,detector,real_detector_raw_available,real_schema_available,real_matched_table_available,synthetic_or_proxy,track_a_dump_available,tta_dump_available,usable_for_P1,usable_for_P2,usable_for_P3,usable_for_P4,usable_for_P5,missing_reason,regenerate_command,raw_path,schema_path,matched_feature_path,track_a_dump_path,tta_dump_path,schema_persistent
DOTA-v1.0,20,psc,True,True,True,False,False,False,True,True,False,True,True,track_a_dump_missing;tta_dump_missing,Use read-only pth_data config/checkpoint with 4-GPU inference; write raw/schema/matched to outputs/persistent_artifacts/orientbench_real_050/DOTA-v1.0/20/; do not train or modify dataset.,/home/rspip/cqc/pro/study/orientbench/outputs/predictions/DOTA-v1.0/20/raw/result_b20.pkl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2/DOTA-v1.0/20/schema/pred_b20_DOTA-v1.0_val.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/DOTA-v1.0_20.jsonl,,,True
DIOR-R,22,psc,True,True,True,False,True,True,True,True,True,True,True,,,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2/DIOR-R/22/raw/result_b22.pkl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2/DIOR-R/22/schema/pred_b22_fullval.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/DIOR-R_22.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/track_a_dumps/DIOR-R_22.pkl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_22,True
FAIR1M-v1.0,24,psc,True,True,True,False,True,True,True,True,True,True,True,,,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2/FAIR1M-v1.0/24/raw/result_b24.pkl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2/FAIR1M-v1.0/24/schema/pred_b24_fullval.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/FAIR1M-v1.0_24.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/track_a_dumps/FAIR1M-v1.0_24.pkl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/tta_preds/FAIR1M-v1.0_24,True
SODA-A,23,psc,True,True,True,False,True,True,True,True,True,True,True,,,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2/SODA-A/23/raw/result_b23.pkl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2/SODA-A/23/schema/pred_b23_fullval.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/SODA-A_23.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/track_a_dumps/SODA-A_23.pkl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/tta_preds/SODA-A_23,True
DIOR-R,3,orcnn,True,True,True,False,False,True,True,True,False,True,True,,,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2/DIOR-R/3/raw/result_b3.pkl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2/DIOR-R/3/schema/pred_b3_fullval.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/DIOR-R_3.jsonl,,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_3,True
DIOR-R,61,rtmdet,True,True,True,False,False,True,False,True,False,True,True,schema_only_in_scratch_or_nonpersistent,Use read-only pth_data config/checkpoint with 4-GPU inference; write raw/schema/matched to outputs/persistent_artifacts/orientbench_real_050/DIOR-R/61/; do not train or modify dataset.,/home/rspip/cqc/pro/study/orientbench/outputs/predictions/DIOR-R/61/raw/result_b61.pkl,/dev/shm/cqc/orientbench/predictions/DIOR-R/61/schema/pred_b61_fullval.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/DIOR-R_61.jsonl,,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_61,False
DIOR-R,10,lsknet,True,True,True,False,False,True,False,True,False,True,True,schema_only_in_scratch_or_nonpersistent,Use read-only pth_data config/checkpoint with 4-GPU inference; write raw/schema/matched to outputs/persistent_artifacts/orientbench_real_050/DIOR-R/10/; do not train or modify dataset.,/dev/shm/cqc/orientbench/predictions/DIOR-R/10/raw/result_b10.pkl,/dev/shm/cqc/orientbench/predictions/DIOR-R/10/schema/pred_b10_fullval.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/DIOR-R_10.jsonl,,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/tta_preds/DIOR-R_10,False
FAIR1M-v1.0,5,orcnn,True,True,True,False,False,True,False,True,False,True,True,schema_only_in_scratch_or_nonpersistent,Use read-only pth_data config/checkpoint with 4-GPU inference; write raw/schema/matched to outputs/persistent_artifacts/orientbench_real_050/FAIR1M-v1.0/5/; do not train or modify dataset.,/home/rspip/cqc/pro/study/orientbench/outputs/predictions/FAIR1M-v1.0/5/raw/result_b5.pkl,/dev/shm/cqc/orientbench/predictions/FAIR1M-v1.0/5/schema/pred_b5_fullval.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/FAIR1M-v1.0_5.jsonl,,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/tta_preds/FAIR1M-v1.0_5,False
FAIR1M-v1.0,12,lsknet,True,True,True,False,False,False,False,True,False,True,True,schema_only_in_scratch_or_nonpersistent;tta_dump_missing,Use read-only pth_data config/checkpoint with 4-GPU inference; write raw/schema/matched to outputs/persistent_artifacts/orientbench_real_050/FAIR1M-v1.0/12/; do not train or modify dataset.,/dev/shm/cqc/orientbench/predictions/FAIR1M-v1.0/12/raw/result_b12.pkl,/dev/shm/cqc/orientbench/predictions/FAIR1M-v1.0/12/schema/pred_b12_fullval.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/FAIR1M-v1.0_12.jsonl,,,False
SODA-A,4,orcnn,True,True,True,False,False,True,False,True,False,True,True,schema_only_in_scratch_or_nonpersistent,Use read-only pth_data config/checkpoint with 4-GPU inference; write raw/schema/matched to outputs/persistent_artifacts/orientbench_real_050/SODA-A/4/; do not train or modify dataset.,/home/rspip/cqc/pro/study/orientbench/outputs/predictions/SODA-A/4/raw/result_b4.pkl,/dev/shm/cqc/orientbench/predictions/SODA-A/4/schema/pred_b4_fullval.jsonl,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/features_v2/features_v2/SODA-A_4.jsonl,,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_v2_047/tta_preds/SODA-A_4,False
