claim_id,manuscript_section,line,text,text_sha256,claim_family,dataset,unit,estimand,result_row_keys,generator_script,input_manifest,gate,status,action,reason
R009-C001,旋转目标检测的朝向可靠性测量：几何归一化风险、场景级审计与人工标注不确定性,1,# 旋转目标检测的朝向可靠性测量：几何归一化风险、场景级审计与人工标注不确定性,cd722623c3285e43755a23030348d2b9fce87fffc7a1d2db68837d62b3fc52ec,human annotation boundary,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C002,摘要,5,旋转目标检测通常以平均精度评价整体性能，但一次检测在类别、中心和尺度上正确，并不意味着其角度可信。交并比阈值、目标长宽比、匹配竞争以及标注不确定性会共同改变角度误差的可见程度，使 AP 难以单独回答“高分预测是否具有更可靠的朝向”。本文提出一套面向有向边界框的朝向可靠性测量协议。协议以 le90 长边规范定义周期角度误差，以共中心、同尺度矩形的旋转交并比推导 `ar>=2.1` 的主分析区域，并用随长宽比变化的几何归一化严重事件统一不同形状的风险语义。为评价任意可靠性分数，我们联合报告风险—覆盖曲线、AURC、归一化风险—覆盖面积及固定角度敏感性。六个干净完整验证单元的完整评测器扰动显示：在自适应 IoU 0.50 边界内，AP@0.5 均保持不变，而 AP@0.75 显著下降；真实几何下 `ar>=2.1` 实例的经验中位容忍角约为 25°--30°（IoU 0.50）和 0°--7.5°（IoU 0.75），但固定剂量网格的原始预测并不完整，因而不能确认统一的 AP@0.75 拐点。,d045d07f1a7f916dc08ce278a3135278325631622ff9e3a09fdaf7aee42a48b3,full-evaluator AP,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C003,摘要,7,本文进一步讨论场景级统计单位、abstention 与有限样本审计的边界，不把未闭合的认证结果作为本文证据。两名独立标注者对 600 个目标的 450 对数值角度给出 2.3112° 的平均分歧；标注者与 official GT 的差异中位数约为 1.76°--1.79°。这些结果说明度级风险解释必须同时考虑几何可辨识性和标注不确定性。,4f23d94dd30a9fed7ee93d25e978ba4f60c10b05c72d99353f77c1122bfe301f,human annotation boundary,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C004,摘要,9,**关键词：** 旋转目标检测；朝向可靠性；风险—覆盖；几何归一化风险；场景级统计；标注不确定性,d34a98593c38d20161328ed6af5c1d8a4ad13badb06218302d2904a37bef09cf,human annotation boundary,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C005,1 引言,13,"有向边界框以 $(c_x,c_y,w,h,\theta)$ 描述目标，广泛用于遥感影像、场景文字和工业视觉。现有旋转检测研究主要围绕 AP、角度编码连续性和定位损失展开。AP 是必要的综合指标，却混合了类别、中心、尺度、角度、分数排序和匹配关系。当 IoU 阈值较低，或目标接近方形时，显著的角度变化仍可能保留匹配；反之，中心或尺度的小变化也可能在角度不变时改变 AP。因此，“检测是否正确”和“朝向是否可信”是相关但不同的问题。",84ac6a7f1f24a01c06b195317278cc2a1e5159b5d0df137f593337b71cb5a47c,statistical-unit boundary,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C006,1 引言,15,朝向可靠性测量至少面临四个困难。第一，旋转框存在 $180^\circ$ 周期和长短边交换等价性，线性角度差会制造伪误差。第二，目标形状决定角度可辨识性：细长目标的角度变化迅速降低 IoU，近方形目标则可能在很大角度范围内保持几何相似。第三，置信分数对检测正确性的排序能力不必等同于其对角度误差的排序能力。第四，同一图像、同一切片来源或同一原始母景中的实例并不独立；把大量实例当作独立样本会产生过窄的置信上界。,83469fa007d6a8b03ef85ddcfcc28748a546a0404ef36accd0f7676aa0c4b2cc,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C007,1 引言,17,本文将问题限定为**测量与审计**，而非提出新的角度编码器或宣称一个通用可部署选择器。具体贡献如下。,c44ca4b874ef741bc9b3a38004ace002efd64254a579c9971be2ba720b3ebb6f,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C008,1 引言,20,2. 从旋转矩形 IoU 推导 `ar>=2.1` 的几何原则化主口径，定义随长宽比变化的 geometry-normalized severe orientation event，并将 5°、10°、15° 保留为固定角度敏感性。,d4b8e7ed1994cd3ea8192ffd9c847d658684973f8b66533c25823478a3800ed0,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C009,1 引言,21,3. 在完整评测器中执行保持预测身份、分数、类别和非角度几何不变的朝向扰动，量化 AP@0.5 与 AP@0.75 的不同敏感性，并比较理想与经验容忍角。,17ef33ec3f4b9ddacaba1a9008c679d6169d4ad74027c39843c53c8ad9ff3e40,full-evaluator AP,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
R009-C010,1 引言,22,4. 在 DIOR-R、FAIR1M、SODA-A 和 DOTA 的多个 detector-head units 上报告 full-validation AP 与朝向排序，利用固定尺寸分箱排查几何分析中的尺寸混淆。,5f050ba24c24b20a3153a32c1ae1d711bcb6faad398a56443089afe4fd1c045e,measurement definition,multiple_or_not_explicit,evaluation unit,orientation-specific measurement,NOT_RUN_PROVENANCE,top_journal_v3_reaudit_055/paper_A_orientation_protocol/scripts/run_a4_fixed_dose_r009.py,top_journal_v3_reaudit_055/paper_A_orientation_protocol/reports/a4_raw_prediction_inventory_r009.csv,INCONCLUSIVE_PROVENANCE_R009,QUALIFIED,QUALIFY,Core provenance 未闭合；仅保留测量边界，不作新增数字或认证主张。
