work,year,verified_source,closest_scope,relation_to_this_work,novelty_action,checked_on
"Sensitivity of Average Precision to Bounding Box Perturbations (Borji)",2022,https://arxiv.org/abs/2206.10107,"HBB perturbation and AP sensitivity","precedes perturbation-to-AP paradigm; no priority claim","limit novelty to OBB angle dose, periodic error, AR normalization and scene clustering",2026-08-07
ARS-DETR,2024,https://doi.org/10.1109/TGRS.2024.3364713,"aspect-ratio-sensitive aerial OBB detection and AP50 angle tolerance","precedes broad AP50-angle-sensitivity observation","cite and avoid first-observation wording",2026-08-07
"Towards Building Self-Aware Object Detectors via Reliable Uncertainty Quantification and Calibration",2023,https://openaccess.thecvf.com/content/CVPR2023/html/Oksuz_Towards_Building_Self-Aware_Object_Detectors_via_Reliable_Uncertainty_Quantification_and_CVPR_2023_paper.html,"scene rejection, uncertainty and calibration","general self-aware detection precedes this work","claim only orientation-specific measurement",2026-08-07
"Multiclass Confidence and Localization Calibration for Object Detection",2023,https://openaccess.thecvf.com/content/CVPR2023/html/Pathiraja_Multiclass_Confidence_and_Localization_Calibration_for_Object_Detection_CVPR_2023_paper.html,"multiclass confidence and localization calibration","general detector calibration precedes this work","do not claim first detection calibration",2026-08-07
OSKDet,2022,https://openaccess.thecvf.com/content/CVPR2022/html/Lu_OSKDet_Orientation-Sensitive_Keypoint_Localization_for_Rotated_Object_Detection_CVPR_2022_paper.html,"orientation-sensitive keypoints and localization-quality uncertainty","method-side orientation quality signal","separate measurement protocol from detector method",2026-08-07
"Detection Calibration WACV line",2024,UNKNOWN_EXCLUDED,"post-hoc/object-detection calibration","bibliographic identity not closed from a primary paper record","exclude from novelty evidence",2026-08-08
"Optimal Correction Cost for Object Detection Evaluation",2022,https://openaccess.thecvf.com/content/CVPR2022/html/Otani_Optimal_Correction_Cost_for_Object_Detection_Evaluation_CVPR_2022_paper.html,"image-level detection evaluation alternative to mAP","precedes image-level critique of mAP","limit contribution to OBB orientation and exchangeable units",2026-08-07
"Rethinking Boundary Discontinuity Problem for Oriented Object Detection",2024,https://openaccess.thecvf.com/content/CVPR2024/html/Xu_Rethinking_Boundary_Discontinuity_Problem_for_Oriented_Object_Detection_CVPR_2024_paper.html,"angle boundary and rotation equivariance mechanism","precedes generic boundary-discontinuity diagnosis","exclude model-mechanism priority claims",2026-08-07
"Oriented Cell Dataset",2025,https://openaccess.thecvf.com/content/WACV2025/html/Kirsten_Oriented_Cell_Dataset_A_Dataset_and_Benchmark_for_Oriented_Cell_WACV_2025_paper.html,"OBB multi-annotator variability","precedes general OBB inter-annotator audit","claim only remote-sensing degree-level circular audit separated from official GT",2026-08-07
"Angle Quality Estimation for oriented object detection",2025,UNKNOWN_EXCLUDED,"model-side angle quality score","journal homepage is not a closed primary record","exclude from novelty evidence",2026-08-08
"Conformal Object Detection by Sequential Risk Control",2025,https://arxiv.org/abs/2505.24038,"sequential conformal risk control for detection","precedes broad conformal detector toolkit","limit to orientation estimand and scene-unit audit",2026-08-07
O2-DFINE,2026,https://arxiv.org/,"recent detector/calibration work named in external review","identity not sufficiently closed from local primary records","exclude from novelty claims pending bibliographic closure",2026-08-07
"Fourier Angle Alignment",2026,https://openaccess.thecvf.com/CVPR2026,"recent Fourier angle work named in external review","future/current proceeding identity unavailable in local snapshot","exclude from novelty claims pending official record",2026-08-07
"EQS cross-dataset selector",2026,local_r015_exploratory_audit,"identity/h/v prediction-equivariance selector without target angle labels","revealed Core evidence is exploratory because a complete code-level prelabel time lock is unavailable; HRSC interval crosses zero","no deployable, independent-validation, universal-transfer, or first-method claim",2026-08-08
